tier,stage,candidate,model,WAPE,test_aligned_WAPE,BiasRatio,Coverage,selected,description
C1,baseline,baseline_weighted_4321,LightGBM,0.2946250101744563,0.278077905116806,0.0181096583314465,1.0,True,
C1,baseline,baseline_weighted_4321,XGBoost,0.2933478300361119,0.2791109782084227,0.0104997957403472,1.0,True,
C1,baseline,baseline_weighted_4321,NeuralNet,0.2951309770323393,0.2853968906856653,0.0452125138622041,1.0,True,
C1,baseline,baseline_weighted_4321,DynamicRidge,0.4302483381320427,0.3946420027353652,0.1953343988427424,1.0,True,
C1,baseline,baseline_weighted_4321,MovingAvg28,0.4444305080765778,0.4384617696253425,0.0093935741339985,1.0,True,
C1,baseline,baseline_weighted_4321,SeasonalNaive,0.5504337381556119,0.6160467728032073,0.2947284131856399,1.0,True,
C1,baseline,baseline_weighted_8421,LightGBM,0.2865585847688774,0.2706947027449288,0.0041894576855945,1.0,False,
C1,baseline,baseline_weighted_8421,XGBoost,0.2992152190778788,0.2822864635416836,0.0057621794466531,1.0,False,
C1,baseline,baseline_lag7,LightGBM,0.3003139818866533,0.2840233031085903,0.0236180297343288,1.0,False,
C1,baseline,baseline_weighted_8421,NeuralNet,0.2940282108208271,0.28627226749854,0.0348817953809459,1.0,False,
C1,baseline,baseline_weekday_median,LightGBM,0.3030323738856451,0.2864741804341982,0.0335075355190214,1.0,False,
C1,baseline,baseline_weekday_median,XGBoost,0.3005885887158723,0.2878402388192186,0.010594864816257,1.0,False,
C1,baseline,baseline_weekday_median,NeuralNet,0.2955291920989175,0.2918339724972358,0.0203133528751541,1.0,False,
C1,baseline,baseline_lag7,XGBoost,0.3011512429130645,0.2929928913725207,0.0287151476060311,1.0,False,
C1,baseline,baseline_lag7,NeuralNet,0.303084513081951,0.296018729752093,0.0387431312427062,1.0,False,
C1,baseline,baseline_weighted_8421,DynamicRidge,0.429826106512704,0.3944027406819979,0.1867825605984477,1.0,False,
C1,baseline,baseline_weekday_median,DynamicRidge,0.4542179437046708,0.4115338727551267,0.2331515297550202,1.0,False,
C1,baseline,baseline_lag7,MovingAvg28,0.4444305080765778,0.4384617696253425,0.0093935741339985,1.0,False,
C1,baseline,baseline_weekday_median,MovingAvg28,0.4444305080765778,0.4384617696253425,0.0093935741339985,1.0,False,
C1,baseline,baseline_weighted_8421,MovingAvg28,0.4444305080765778,0.4384617696253425,0.0093935741339985,1.0,False,
C1,baseline,baseline_lag7,DynamicRidge,0.5042834155552858,0.4634561283968067,0.2056558545864298,1.0,False,
C1,baseline,baseline_lag7,SeasonalNaive,0.5504337381556119,0.6160467728032073,0.2947284131856399,1.0,False,
C1,baseline,baseline_weekday_median,SeasonalNaive,0.5504337381556119,0.6160467728032073,0.2947284131856399,1.0,False,
C1,baseline,baseline_weighted_8421,SeasonalNaive,0.5504337381556119,0.6160467728032073,0.2947284131856399,1.0,False,
C1,recency,half365,LightGBM,0.2946250101744563,0.278077905116806,0.0181096583314465,1.0,True,
C1,recency,half365,XGBoost,0.2933478300361119,0.2791109782084227,0.0104997957403472,1.0,True,
C1,recency,half365,NeuralNet,0.2951309770323393,0.2853968906856653,0.0452125138622041,1.0,True,
C1,recency,half365,DynamicRidge,0.4302483381320427,0.3946420027353652,0.1953343988427424,1.0,True,
C1,recency,half365,MovingAvg28,0.4444305080765778,0.4384617696253425,0.0093935741339985,1.0,True,
C1,recency,half365,SeasonalNaive,0.5504337381556119,0.6160467728032073,0.2947284131856399,1.0,True,
C1,recency,window730,LightGBM,0.2894946589027866,0.2723800576177377,-0.001359645975387,1.0,False,
C1,recency,window365_half180,LightGBM,0.3024619620043303,0.2729763204084318,-0.0007121003964356,1.0,False,"window=365.0, half-life=180.0, baseline=weighted_4321"
C1,recency,half90,XGBoost,0.2908310643076722,0.2783643748245478,0.0251834138999169,1.0,False,
C1,recency,half90,LightGBM,0.2963412629162757,0.2787310072855835,0.0067367561506553,1.0,False,
C1,recency,window730_half180,LightGBM,0.2898209711173086,0.2791454309495144,0.0182207218050781,1.0,False,"window=730.0, half-life=180.0, baseline=weighted_4321"
C1,recency,window365,LightGBM,0.3020467701584924,0.2811021279839378,-0.0080369461705142,1.0,False,
C1,recency,window730,XGBoost,0.2933494488133077,0.282698269090048,0.0102189463956897,1.0,False,
C1,recency,control,LightGBM,0.2998626299247187,0.2838134018013791,0.0319487162563792,1.0,False,
C1,recency,half180,LightGBM,0.2932456953891778,0.2844172589720652,0.0256487597773903,1.0,False,
C1,recency,window365_half180,XGBoost,0.2970663941369488,0.2850231798803266,-0.003938748167367,1.0,False,"window=365.0, half-life=180.0, baseline=weighted_4321"
C1,recency,half90,NeuralNet,0.2838847460445016,0.2867114655054558,0.0204402771336226,1.0,False,
C1,recency,half180,XGBoost,0.2950549094186643,0.2871564987825731,-0.0037925451297905,1.0,False,
C1,recency,window730_half180,XGBoost,0.2962891515688919,0.2875826529795161,0.0055025174543629,1.0,False,"window=730.0, half-life=180.0, baseline=weighted_4321"
C1,recency,window365,XGBoost,0.3031331235777308,0.2883886558839776,-0.014199193909985,1.0,False,
C1,recency,window730,NeuralNet,0.291627731185461,0.2891218793761009,0.0392295342771807,1.0,False,
C1,recency,control,NeuralNet,0.3038860588170533,0.291305734949367,0.0500516035559721,1.0,False,
C1,recency,window730_half180,NeuralNet,0.2963575103234361,0.2985448293491872,0.0225775539851308,1.0,False,"window=730.0, half-life=180.0, baseline=weighted_4321"
C1,recency,control,XGBoost,0.3176035352181516,0.2995722471536903,0.0561284914157362,1.0,False,
C1,recency,half180,NeuralNet,0.3072810339256993,0.3076470520028613,0.0333253768389033,1.0,False,
C1,recency,window365_half180,NeuralNet,0.3189218016445447,0.3130624205628042,0.0299676005220705,1.0,False,"window=365.0, half-life=180.0, baseline=weighted_4321"
C1,recency,window365,NeuralNet,0.3348144215101647,0.3258175742637057,0.0173435278114404,1.0,False,
C1,recency,half90,DynamicRidge,0.3853375932124433,0.3620884420422051,0.0896000958580399,1.0,False,
C1,recency,window730_half180,DynamicRidge,0.4118042266792056,0.3802053175545901,0.142900737220799,1.0,False,"window=730.0, half-life=180.0, baseline=weighted_4321"
C1,recency,half180,DynamicRidge,0.4167340111616344,0.3842843262471935,0.160577444745911,1.0,False,
C1,recency,control,DynamicRidge,0.433552849626853,0.3962337833036558,0.2014007826967009,1.0,False,
C1,recency,window730,DynamicRidge,0.4428375489782081,0.4092045406325529,0.1957722293380804,1.0,False,
C1,recency,window365_half180,DynamicRidge,0.4607745810645167,0.4276800584849626,0.1894519034349026,1.0,False,"window=365.0, half-life=180.0, baseline=weighted_4321"
C1,recency,control,MovingAvg28,0.4444305080765778,0.4384617696253425,0.0093935741339985,1.0,False,
C1,recency,half180,MovingAvg28,0.4444305080765778,0.4384617696253425,0.0093935741339985,1.0,False,
C1,recency,half90,MovingAvg28,0.4444305080765778,0.4384617696253425,0.0093935741339985,1.0,False,
C1,recency,window730,MovingAvg28,0.4444305080765778,0.4384617696253425,0.0093935741339985,1.0,False,
C1,recency,window730_half180,MovingAvg28,0.4444305080765778,0.4384617696253425,0.0093935741339985,1.0,False,"window=730.0, half-life=180.0, baseline=weighted_4321"
C1,recency,window365,MovingAvg28,0.4444305080765778,0.4384617696253425,0.0093935741339985,1.0,False,
C1,recency,window365_half180,MovingAvg28,0.4444305080765778,0.4384617696253425,0.0093935741339985,1.0,False,"window=365.0, half-life=180.0, baseline=weighted_4321"
C1,recency,window365,DynamicRidge,0.4842678671571738,0.4501801629376543,0.21630365388759,1.0,False,
C1,recency,control,SeasonalNaive,0.5504337381556119,0.6160467728032073,0.2947284131856399,1.0,False,
C1,recency,half180,SeasonalNaive,0.5504337381556119,0.6160467728032073,0.2947284131856399,1.0,False,
C1,recency,half90,SeasonalNaive,0.5504337381556119,0.6160467728032073,0.2947284131856399,1.0,False,
C1,recency,window730,SeasonalNaive,0.5504337381556119,0.6160467728032073,0.2947284131856399,1.0,False,
C1,recency,window730_half180,SeasonalNaive,0.5504337381556119,0.6160467728032073,0.2947284131856399,1.0,False,"window=730.0, half-life=180.0, baseline=weighted_4321"
C1,recency,window365,SeasonalNaive,0.5504337381556119,0.6160467728032073,0.2947284131856399,1.0,False,
C1,recency,window365_half180,SeasonalNaive,0.5504337381556119,0.6160467728032073,0.2947284131856399,1.0,False,"window=365.0, half-life=180.0, baseline=weighted_4321"
C1,trend,trend_off,LightGBM,0.2946250101744563,0.278077905116806,0.0181096583314465,1.0,True,
C1,trend,trend_off,XGBoost,0.2933478300361119,0.2791109782084227,0.0104997957403472,1.0,True,
C1,trend,trend_off,NeuralNet,0.2951309770323393,0.2853968906856653,0.0452125138622041,1.0,True,
C1,trend,trend_off,DynamicRidge,0.4302483381320427,0.3946420027353652,0.1953343988427424,1.0,True,
C1,trend,trend_off,MovingAvg28,0.4444305080765778,0.4384617696253425,0.0093935741339985,1.0,True,
C1,trend,trend_off,SeasonalNaive,0.5504337381556119,0.6160467728032073,0.2947284131856399,1.0,True,
C1,trend,trend_on,LightGBM,0.292866059051533,0.2754291588245061,0.0464953472661062,1.0,False,
C1,trend,trend_on,XGBoost,0.3032406785539675,0.2860530998973671,0.0461138531909707,1.0,False,
C1,trend,trend_on,NeuralNet,0.281252879768038,0.2976287135888201,0.0074977839305463,1.0,False,
C1,trend,trend_on,DynamicRidge,0.388251469367721,0.379096889934441,0.1407511403201722,1.0,False,
C1,trend,trend_on,MovingAvg28,0.4444305080765778,0.4384617696253425,0.0093935741339985,1.0,False,
C1,trend,trend_on,SeasonalNaive,0.5504337381556119,0.6160467728032073,0.2947284131856399,1.0,False,
C2,C2,all_groups,XGBoost,0.2664464713733886,0.2592227689531003,-0.0814379768983776,1.0,True,"groups=price,campaign,lifecycle,market,event, half-life=365.0"
C2,C2,all_groups,LightGBM,0.2676680471126155,0.2628342687714267,-0.0445187816517416,1.0,True,"groups=price,campaign,lifecycle,market,event, half-life=365.0"
C2,C2,sensitivity_half_none,LightGBM,0.2731925347515408,0.2630754551529247,-0.0180804101405467,1.0,True,
C2,C2,sensitivity_half_none,XGBoost,0.2816878928753812,0.2737582515545413,-0.032695714917979,1.0,True,
C2,C2,sensitivity_half_none,NeuralNet,0.2759923779841491,0.2759359734397706,-0.0952895748166829,1.0,True,
C2,C2,all_groups,NeuralNet,0.2774830116961354,0.2762659293697675,-0.1001016698705117,1.0,True,"groups=price,campaign,lifecycle,market,event, half-life=365.0"
C2,C2,sensitivity_half_none,DynamicRidge,0.3891248750651644,0.3730852178916244,0.0884127850353073,1.0,True,
C2,C2,all_groups,DynamicRidge,0.3937458340405232,0.3808293178818293,0.073717266761376,1.0,True,"groups=price,campaign,lifecycle,market,event, half-life=365.0"
C2,C2,all_groups,MovingAvg28,0.4444305080765778,0.4384617696253425,0.0093935741339985,1.0,True,"groups=price,campaign,lifecycle,market,event, half-life=365.0"
C2,C2,sensitivity_half_none,MovingAvg28,0.4444305080765778,0.4384617696253425,0.0093935741339985,1.0,True,
C2,C2,all_groups,SeasonalNaive,0.5504337381556119,0.6160467728032073,0.2947284131856399,1.0,True,"groups=price,campaign,lifecycle,market,event, half-life=365.0"
C2,C2,sensitivity_half_none,SeasonalNaive,0.5504337381556119,0.6160467728032073,0.2947284131856399,1.0,True,
C2,C2,sensitivity_half_90p0,LightGBM,0.2639310621744352,0.2588824425363091,-0.0428309303616771,1.0,False,"groups=price,campaign,lifecycle,market,event, half-life=90.0"
C2,C2,single_market,LightGBM,0.276133514057567,0.2714568944223913,-0.0305425494555301,1.0,False,"groups=market, half-life=365.0"
C2,C2,forward_1_market,LightGBM,0.276133514057567,0.2714568944223913,-0.0305425494555301,1.0,False,"groups=market, half-life=365.0"
C2,C2,single_price,LightGBM,0.2886791106172768,0.2720828663639718,0.0022343679787271,1.0,False,"groups=price, half-life=365.0"
C2,C2,forward_1_price,LightGBM,0.2886791106172768,0.2720828663639718,0.0022343679787271,1.0,False,"groups=price, half-life=365.0"
C2,C2,sensitivity_half_90p0,XGBoost,0.2721134199298113,0.2731224969493308,-0.0828626989936472,1.0,False,"groups=price,campaign,lifecycle,market,event, half-life=90.0"
C2,C2,single_lifecycle,LightGBM,0.2833818261055098,0.2731358429424201,0.027516043411306,1.0,False,"groups=lifecycle, half-life=365.0"
C2,C2,forward_1_lifecycle,LightGBM,0.2833818261055098,0.2731358429424201,0.027516043411306,1.0,False,"groups=lifecycle, half-life=365.0"
C2,C2,single_event,XGBoost,0.2884197470010019,0.2742556904921244,-0.0068477046405395,1.0,False,"groups=event, half-life=365.0"
C2,C2,forward_1_event,XGBoost,0.2884197470010019,0.2742556904921244,-0.0068477046405395,1.0,False,"groups=event, half-life=365.0"
C2,C2,single_market,XGBoost,0.2776076176830593,0.2747318414653129,-0.0544768317111992,1.0,False,"groups=market, half-life=365.0"
C2,C2,forward_1_market,XGBoost,0.2776076176830593,0.2747318414653129,-0.0544768317111992,1.0,False,"groups=market, half-life=365.0"
C2,C2,control,LightGBM,0.2946250101744563,0.278077905116806,0.0181096583314465,1.0,False,"groups=none, half-life=365.0"
C2,C2,control,XGBoost,0.2933478300361119,0.2791109782084227,0.0104997957403472,1.0,False,"groups=none, half-life=365.0"
C2,C2,single_event,LightGBM,0.2967731852612889,0.2800773896491949,0.0034152559503509,1.0,False,"groups=event, half-life=365.0"
C2,C2,forward_1_event,LightGBM,0.2967731852612889,0.2800773896491949,0.0034152559503509,1.0,False,"groups=event, half-life=365.0"
C2,C2,single_price,XGBoost,0.2945136959206257,0.2805639816952345,-0.0133740455242306,1.0,False,"groups=price, half-life=365.0"
