candidate,stage,training_window_days,recency_half_life_days,baseline_variant,enable_trend_features,model,WAPE,MAE,RMSE,BiasRatio,Coverage,test_aligned_WAPE,elapsed_seconds,n_oof_rows
control,recency,,,weighted_4321,False,NeuralNet,0.3038860588170533,14.00380220612657,22.45814677511643,0.05005160355597213,1.0,0.29130573494936707,0.010472500001924345,826
control,recency,,,weighted_4321,False,XGBoost,0.31760353521815166,14.635936589111994,22.19919805140445,0.05612849141573629,1.0,0.29957224715369035,0.010472500001924345,826
control,recency,,,weighted_4321,False,LightGBM,0.29986262992471874,13.818392902988423,22.236247315039673,0.031948716256379225,1.0,0.28381340180137915,0.010472500001924345,826
control,recency,,,weighted_4321,False,DynamicRidge,0.433552849626853,19.97916053046746,32.525416256277666,0.2014007826967009,1.0,0.3962337833036558,0.010472500001924345,826
control,recency,,,weighted_4321,False,SeasonalNaive,0.5504337381556119,25.365313653136532,38.54854290244443,0.2947284131856399,1.0,0.6160467728032073,0.010472500001924345,826
control,recency,,,weighted_4321,False,MovingAvg28,0.4444305080765778,20.480429255952014,31.616861817439048,0.009393574133998524,1.0,0.43846176962534256,0.010472500001924345,826
half365,recency,,365.0,weighted_4321,False,NeuralNet,0.2951309770323393,13.600346930524713,20.551035985659567,0.04521251386220415,1.0,0.2853968906856653,59.21328354200159,826
half365,recency,,365.0,weighted_4321,False,XGBoost,0.2933478300361119,13.518175218084789,21.627296693071717,0.010499795740347241,1.0,0.2791109782084227,59.21328354200159,826
half365,recency,,365.0,weighted_4321,False,LightGBM,0.29462501017445636,13.57703075791637,21.00971084871777,0.01810965833144657,1.0,0.278077905116806,59.21328354200159,826
half365,recency,,365.0,weighted_4321,False,DynamicRidge,0.4302483381320427,19.826880674190626,32.50537840685279,0.19533439884274248,1.0,0.39464200273536526,59.21328354200159,826
half365,recency,,365.0,weighted_4321,False,SeasonalNaive,0.5504337381556119,25.365313653136532,38.54854290244443,0.2947284131856399,1.0,0.6160467728032073,59.21328354200159,826
half365,recency,,365.0,weighted_4321,False,MovingAvg28,0.4444305080765778,20.480429255952014,31.616861817439048,0.009393574133998524,1.0,0.43846176962534256,59.21328354200159,826
half180,recency,,180.0,weighted_4321,False,NeuralNet,0.3072810339256993,14.160250843820817,21.992500211811706,0.03332537683890338,1.0,0.3076470520028613,62.82872420900094,826
half180,recency,,180.0,weighted_4321,False,XGBoost,0.2950549094186643,13.596841551500933,21.824502012438412,-0.0037925451297905104,1.0,0.2871564987825731,62.82872420900094,826
half180,recency,,180.0,weighted_4321,False,LightGBM,0.29324569538917783,13.513468607325395,20.8193575864938,0.025648759777390336,1.0,0.28441725897206527,62.82872420900094,826
half180,recency,,180.0,weighted_4321,False,DynamicRidge,0.4167340111616344,19.204107906728947,31.715401192696266,0.16057744474591104,1.0,0.38428432624719355,62.82872420900094,826
half180,recency,,180.0,weighted_4321,False,SeasonalNaive,0.5504337381556119,25.365313653136532,38.54854290244443,0.2947284131856399,1.0,0.6160467728032073,62.82872420900094,826
half180,recency,,180.0,weighted_4321,False,MovingAvg28,0.4444305080765778,20.480429255952014,31.616861817439048,0.009393574133998524,1.0,0.43846176962534256,62.82872420900094,826
half90,recency,,90.0,weighted_4321,False,NeuralNet,0.28388474604450165,13.082093493920363,19.194352259277963,0.020440277133622647,1.0,0.2867114655054558,60.02465412500169,826
half90,recency,,90.0,weighted_4321,False,XGBoost,0.2908310643076722,13.402196585838793,20.64750432419785,0.02518341389991692,1.0,0.27836437482454784,60.02465412500169,826
half90,recency,,90.0,weighted_4321,False,LightGBM,0.29634126291627577,13.656119821842893,22.410729503220104,0.006736756150655366,1.0,0.27873100728558353,60.02465412500169,826
half90,recency,,90.0,weighted_4321,False,DynamicRidge,0.3853375932124433,17.757285276388917,28.794053031882235,0.08960009585803999,1.0,0.36208844204220514,60.02465412500169,826
half90,recency,,90.0,weighted_4321,False,SeasonalNaive,0.5504337381556119,25.365313653136532,38.54854290244443,0.2947284131856399,1.0,0.6160467728032073,60.02465412500169,826
half90,recency,,90.0,weighted_4321,False,MovingAvg28,0.4444305080765778,20.480429255952014,31.616861817439048,0.009393574133998524,1.0,0.43846176962534256,60.02465412500169,826
window730,recency,730.0,,weighted_4321,False,NeuralNet,0.29162773118546104,13.438908916191018,19.977104745025812,0.039229534277180796,1.0,0.28912187937610095,52.300086625000404,826
window730,recency,730.0,,weighted_4321,False,XGBoost,0.2933494488133077,13.518249815240557,21.215138127973724,0.010218946395689729,1.0,0.282698269090048,52.300086625000404,826
window730,recency,730.0,,weighted_4321,False,LightGBM,0.28949465890278664,13.340611802943299,21.060283080609572,-0.0013596459753870025,1.0,0.2723800576177377,52.300086625000404,826
window730,recency,730.0,,weighted_4321,False,DynamicRidge,0.4428375489782081,20.40702186035494,32.936104223737644,0.19577222933808044,1.0,0.40920454063255296,52.300086625000404,826
window730,recency,730.0,,weighted_4321,False,SeasonalNaive,0.5504337381556119,25.365313653136532,38.54854290244443,0.2947284131856399,1.0,0.6160467728032073,52.300086625000404,826
window730,recency,730.0,,weighted_4321,False,MovingAvg28,0.4444305080765778,20.480429255952014,31.616861817439048,0.009393574133998524,1.0,0.43846176962534256,52.300086625000404,826
window730_half180,recency,730.0,180.0,weighted_4321,False,NeuralNet,0.2963575103234361,13.65686854153448,20.55759096968323,0.022577553985130876,1.0,0.2985448293491872,45.96242108300066,826
window730_half180,recency,730.0,180.0,weighted_4321,False,XGBoost,0.29628915156889196,13.653718405324154,21.64055374077972,0.005502517454362943,1.0,0.2875826529795161,45.96242108300066,826
