ProductId,horizon,DateKey,origin,origin_type,strategy,validation_stratum,pred_NeuralNet,pred_XGBoost,pred_LightGBM,pred_DynamicRidge,fallback_NeuralNet,nonfinite_NeuralNet,catastrophic_NeuralNet,residual_guard_NeuralNet,residual_nonfinite_NeuralNet,residual_raw_min_NeuralNet,residual_raw_max_NeuralNet,safety_limit_NeuralNet,fallback_XGBoost,nonfinite_XGBoost,catastrophic_XGBoost,residual_guard_XGBoost,residual_nonfinite_XGBoost,residual_raw_min_XGBoost,residual_raw_max_XGBoost,safety_limit_XGBoost,fallback_LightGBM,nonfinite_LightGBM,catastrophic_LightGBM,residual_guard_LightGBM,residual_nonfinite_LightGBM,residual_raw_min_LightGBM,residual_raw_max_LightGBM,safety_limit_LightGBM,fallback_DynamicRidge,nonfinite_DynamicRidge,catastrophic_DynamicRidge,residual_guard_DynamicRidge,residual_nonfinite_DynamicRidge,residual_raw_min_DynamicRidge,residual_raw_max_DynamicRidge,safety_limit_DynamicRidge,pred_NeuralNet_seed42,actual,ProductAvailable,baseline,pred_SeasonalNaive,pred_MovingAvg28
1,1,2023-01-11,2023-01-10,development,direct,winter_test_like,51.687653984176364,54.47826,53.553646,39.097908,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,51.687653984176364,47.0,True,66.3,50.0,81.92857142857143
2,1,2023-01-11,2023-01-10,development,direct,winter_test_like,88.3630709951684,66.55729,69.23269,54.11847,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,88.3630709951684,48.0,True,58.9,76.0,67.25
3,1,2023-01-11,2023-01-10,development,direct,winter_test_like,18.17099055164664,29.597147,33.805782,21.622736,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,18.17099055164664,26.0,True,49.9,19.0,54.67857142857143
4,1,2023-01-11,2023-01-10,development,direct,winter_test_like,84.82684603825764,77.661644,74.79799,48.52329,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,84.82684603825764,68.0,True,81.1,80.0,95.82142857142857
5,1,2023-01-11,2023-01-10,development,direct,winter_test_like,90.89312775142069,88.31333,85.87812,49.405422,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,90.89312775142069,122.0,True,117.0,141.0,116.03571428571429
6,1,2023-01-11,2023-01-10,development,direct,winter_test_like,31.46645632415621,24.973362,26.347826,21.469627,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,31.46645632415621,25.0,True,17.0,23.0,17.0
7,1,2023-01-11,2023-01-10,development,direct,winter_test_like,11.39423449969062,10.617206,12.381544,13.954523,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,11.39423449969062,23.0,True,21.5,34.0,14.892857142857142
8,1,2023-01-11,2023-01-10,development,direct,winter_test_like,22.236928851626946,14.367824,17.74573,18.178705,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,22.236928851626946,26.0,True,19.4,14.0,20.821428571428573
9,1,2023-01-11,2023-01-10,development,direct,winter_test_like,31.799939129617954,37.25965,34.910618,29.458412,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,31.799939129617954,40.0,True,62.2,124.0,38.392857142857146
10,1,2023-01-11,2023-01-10,development,direct,winter_test_like,50.14297535601586,49.485836,48.315544,40.681686,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,50.14297535601586,47.0,True,37.8,63.0,32.142857142857146
11,1,2023-01-11,2023-01-10,development,direct,winter_test_like,41.77844330596898,51.231644,48.81586,30.289173,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,41.77844330596898,33.0,True,61.8,53.0,74.64285714285714
12,1,2023-01-11,2023-01-10,development,direct,winter_test_like,22.28256737726347,20.996016,27.11501,34.751457,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,22.28256737726347,15.0,True,38.2,62.0,26.785714285714285
13,1,2023-01-11,2023-01-10,development,direct,winter_test_like,46.69939615565556,44.261147,40.129166,39.387516,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,46.69939615565556,51.0,True,43.7,54.0,40.42857142857143
14,1,2023-01-11,2023-01-10,development,direct,winter_test_like,46.07491088253646,42.76238,41.219162,36.626232,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,46.07491088253646,55.0,True,25.9,42.0,24.607142857142858
15,1,2023-01-11,2023-01-10,development,direct,winter_test_like,48.112096784518755,43.008743,42.047344,45.194374,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,48.112096784518755,55.0,True,41.0,65.0,32.17857142857143
16,1,2023-01-11,2023-01-10,development,direct,winter_test_like,49.46220868821815,47.123722,48.016273,43.003246,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,49.46220868821815,48.0,True,80.9,73.0,70.89285714285714
17,1,2023-01-11,2023-01-10,development,direct,winter_test_like,23.9948387840218,18.761871,20.598719,23.736664,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,23.9948387840218,18.0,True,15.7,15.0,17.392857142857142
18,1,2023-01-11,2023-01-10,development,direct,winter_test_like,29.393928365793332,23.62269,22.973211,26.751942,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,29.393928365793332,26.0,True,40.1,60.0,35.285714285714285
19,1,2023-01-11,2023-01-10,development,direct,winter_test_like,77.30438474609657,76.739685,77.614586,61.25417,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,77.30438474609657,74.0,True,46.5,107.0,38.607142857142854
20,1,2023-01-11,2023-01-10,development,direct,winter_test_like,35.67616886464952,38.087986,40.173233,36.365486,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,35.67616886464952,57.0,True,41.3,40.0,40.5
21,1,2023-01-11,2023-01-10,development,direct,winter_test_like,26.890549794181982,25.067175,26.114655,29.674597,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,26.890549794181982,27.0,True,23.4,25.0,20.5
22,1,2023-01-11,2023-01-10,development,direct,winter_test_like,4.0203152336488674,2.781875,2.7436543,15.412845,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,4.0203152336488674,6.0,True,16.4,3.0,17.428571428571427
23,1,2023-01-11,2023-01-10,development,direct,winter_test_like,37.22711796801925,34.565525,38.481598,43.543133,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,37.22711796801925,42.0,True,41.8,56.0,37.785714285714285
24,1,2023-01-11,2023-01-10,development,direct,winter_test_like,1.5370965063844313,11.372033,12.575309,2030.5559,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,1.5370965063844313,0.0,False,,,
25,1,2023-01-11,2023-01-10,development,direct,winter_test_like,37.023887785773915,36.996338,37.42916,29.175133,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,37.023887785773915,40.0,True,45.7,75.0,30.678571428571427
26,1,2023-01-11,2023-01-10,development,direct,winter_test_like,0.6862495017749971,0.8150074,0.72329164,5.1177435,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,0.6862495017749971,0.0,False,5.666666666666667,5.666666666666667,5.454545454545454
27,1,2023-01-11,2023-01-10,development,direct,winter_test_like,29.54278037277152,26.251083,29.549326,27.978968,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,29.54278037277152,35.0,True,33.4,52.0,26.416666666666668
28,1,2023-01-11,2023-01-10,development,direct,winter_test_like,19.488975695039738,19.680727,22.20123,10.087442,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,19.488975695039738,28.0,True,4.7,6.0,5.107142857142857
1,2,2023-01-12,2023-01-10,development,direct,winter_test_like,49.48486237022086,59.88526,57.112064,33.543377,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,49.48486237022086,36.0,True,60.6,57.0,81.92857142857143
2,2,2023-01-12,2023-01-10,development,direct,winter_test_like,88.86920173903167,74.9893,70.786064,48.43228,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,88.86920173903167,49.0,True,63.0,89.0,67.25
3,2,2023-01-12,2023-01-10,development,direct,winter_test_like,5.7843354626416,15.0692,12.812552,12.87819,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,5.7843354626416,10.0,True,37.4,15.0,54.67857142857143
4,2,2023-01-12,2023-01-10,development,direct,winter_test_like,76.68377891993794,78.52606,75.16167,39.552784,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,76.68377891993794,52.0,True,87.3,88.0,95.82142857142857
