ProductId,horizon,DateKey,origin,origin_type,strategy,validation_stratum,pred_NeuralNet,pred_XGBoost,pred_LightGBM,pred_DynamicRidge,fallback_NeuralNet,nonfinite_NeuralNet,catastrophic_NeuralNet,residual_guard_NeuralNet,residual_nonfinite_NeuralNet,residual_raw_min_NeuralNet,residual_raw_max_NeuralNet,safety_limit_NeuralNet,fallback_XGBoost,nonfinite_XGBoost,catastrophic_XGBoost,residual_guard_XGBoost,residual_nonfinite_XGBoost,residual_raw_min_XGBoost,residual_raw_max_XGBoost,safety_limit_XGBoost,fallback_LightGBM,nonfinite_LightGBM,catastrophic_LightGBM,residual_guard_LightGBM,residual_nonfinite_LightGBM,residual_raw_min_LightGBM,residual_raw_max_LightGBM,safety_limit_LightGBM,fallback_DynamicRidge,nonfinite_DynamicRidge,catastrophic_DynamicRidge,residual_guard_DynamicRidge,residual_nonfinite_DynamicRidge,residual_raw_min_DynamicRidge,residual_raw_max_DynamicRidge,safety_limit_DynamicRidge,pred_NeuralNet_seed42,actual,ProductAvailable,baseline,pred_SeasonalNaive,pred_MovingAvg28
1,1,2023-01-11,2023-01-10,development,direct,winter_test_like,65.38882905834919,56.826298,54.790524,44.445393,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,65.38882905834919,47.0,True,66.3,50.0,81.92857142857143
2,1,2023-01-11,2023-01-10,development,direct,winter_test_like,88.38020784094347,68.55328,67.086975,59.62909,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,88.38020784094347,48.0,True,58.9,76.0,67.25
3,1,2023-01-11,2023-01-10,development,direct,winter_test_like,19.173415688106413,26.603455,32.654446,23.51053,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,19.173415688106413,26.0,True,49.9,19.0,54.67857142857143
4,1,2023-01-11,2023-01-10,development,direct,winter_test_like,102.04399525430156,82.14033,74.17498,55.54087,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,102.04399525430156,68.0,True,81.1,80.0,95.82142857142857
5,1,2023-01-11,2023-01-10,development,direct,winter_test_like,109.4809717808619,105.26946,96.83831,62.09237,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,109.4809717808619,122.0,True,117.0,141.0,116.03571428571429
6,1,2023-01-11,2023-01-10,development,direct,winter_test_like,32.336980820879546,25.707548,24.983555,22.488266,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,32.336980820879546,25.0,True,17.0,23.0,17.0
7,1,2023-01-11,2023-01-10,development,direct,winter_test_like,14.009614630562853,12.358961,13.496835,14.953177,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,14.009614630562853,23.0,True,21.5,34.0,14.892857142857142
8,1,2023-01-11,2023-01-10,development,direct,winter_test_like,22.666854468131497,14.875074,17.859922,18.780794,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,22.666854468131497,26.0,True,19.4,14.0,20.821428571428573
9,1,2023-01-11,2023-01-10,development,direct,winter_test_like,38.84302195308702,33.168663,33.825085,34.414818,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,38.84302195308702,40.0,True,62.2,124.0,38.392857142857146
10,1,2023-01-11,2023-01-10,development,direct,winter_test_like,57.26670214300842,55.201637,49.38243,45.608425,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,57.26670214300842,47.0,True,37.8,63.0,32.142857142857146
11,1,2023-01-11,2023-01-10,development,direct,winter_test_like,50.996555595350664,47.71218,50.380466,34.00452,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,50.996555595350664,33.0,True,61.8,53.0,74.64285714285714
12,1,2023-01-11,2023-01-10,development,direct,winter_test_like,23.66895509678164,22.753736,27.264126,33.60333,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,23.66895509678164,15.0,True,38.2,62.0,26.785714285714285
13,1,2023-01-11,2023-01-10,development,direct,winter_test_like,52.15447611819927,41.498104,44.97794,43.138126,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,52.15447611819927,51.0,True,43.7,54.0,40.42857142857143
14,1,2023-01-11,2023-01-10,development,direct,winter_test_like,45.70495189775387,42.202534,43.369827,38.6717,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,45.70495189775387,55.0,True,25.9,42.0,24.607142857142858
15,1,2023-01-11,2023-01-10,development,direct,winter_test_like,49.72077868347931,45.68894,42.650455,43.243465,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,49.72077868347931,55.0,True,41.0,65.0,32.17857142857143
16,1,2023-01-11,2023-01-10,development,direct,winter_test_like,52.437914991031896,48.60689,46.70405,44.92838,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,52.437914991031896,48.0,True,80.9,73.0,70.89285714285714
17,1,2023-01-11,2023-01-10,development,direct,winter_test_like,20.77341301122704,21.182814,20.54938,21.58387,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,20.77341301122704,18.0,True,15.7,15.0,17.392857142857142
18,1,2023-01-11,2023-01-10,development,direct,winter_test_like,35.48000097689792,23.647041,22.303669,30.089172,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,35.48000097689792,26.0,True,40.1,60.0,35.285714285714285
19,1,2023-01-11,2023-01-10,development,direct,winter_test_like,75.84725827155938,81.04713,81.08426,73.788445,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,75.84725827155938,74.0,True,46.5,107.0,38.607142857142854
20,1,2023-01-11,2023-01-10,development,direct,winter_test_like,42.527356697304924,35.245132,38.98444,38.141953,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,42.527356697304924,57.0,True,41.3,40.0,40.5
21,1,2023-01-11,2023-01-10,development,direct,winter_test_like,24.145970671223033,26.822817,26.407036,27.18417,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,24.145970671223033,27.0,True,23.4,25.0,20.5
22,1,2023-01-11,2023-01-10,development,direct,winter_test_like,5.650592914832888,2.5219498,2.5274754,15.091346,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,5.650592914832888,6.0,True,16.4,3.0,17.428571428571427
23,1,2023-01-11,2023-01-10,development,direct,winter_test_like,47.597142866315835,35.163906,39.503914,45.40197,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,47.597142866315835,42.0,True,41.8,56.0,37.785714285714285
24,1,2023-01-11,2023-01-10,development,direct,winter_test_like,3.9333525689149034,11.445872,6.8663793,154.53233,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,3.9333525689149034,0.0,False,,,
