candidate,stage,model,recency_half_life_days,nn_loss,nn_target_mode,enable_channel_history_features,channel_aux_weight,tree_target_mode,WAPE,MAE,RMSE,BiasRatio,Coverage,test_aligned_WAPE,app_share_MAE,app_share_weighted_MAE,app_share_n,elapsed_seconds,reused_from,n_oof_rows
base_half_none,c2_gate,NeuralNet,,huber,residual,False,0.0,log1p,0.27532234573668957,12.687517445295294,20.943193048716374,-0.09569850421714089,1.0,0.27548220771404014,,,0,27.016572583001107,,826
base_half_365p0,c2_gate,NeuralNet,365.0,huber,residual,False,0.0,log1p,0.27758149106609087,12.79162430847613,20.998734984537975,-0.10006313407055499,1.0,0.2762602491588985,,,0,27.142214791994775,,826
loss_huber,nn_loss,NeuralNet,,huber,residual,False,0.0,log1p,0.27532234573668957,12.687517445295294,20.943193048716374,-0.09569850421714089,1.0,0.27548220771404014,,,0,0.0,base_half_none,826
loss_mse,nn_loss,NeuralNet,,mse,residual,False,0.0,log1p,0.2604858046529504,12.003813863865666,19.72148068972708,-0.06509693667404454,1.0,0.26206910176314563,,,0,25.614260125003057,,826
loss_combined,nn_loss,NeuralNet,,combined,residual,False,0.0,log1p,0.26413969735239207,12.172194048348548,19.91056252290788,-0.07885446467617095,1.0,0.2644159845687416,,,0,26.68815791599627,,826
loss_logcosh,nn_loss,NeuralNet,,logcosh,residual,False,0.0,log1p,0.27077205375182495,12.477829020679117,20.459345289355515,-0.08421398712178516,1.0,0.2716715792971104,,,0,28.173639833999914,,826
target_residual,nn_target,NeuralNet,,mse,residual,False,0.0,log1p,0.2604858046529504,12.003813863865666,19.72148068972708,-0.06509693667404454,1.0,0.26206910176314563,,,0,0.0,loss_mse,826
target_log1p,nn_target,NeuralNet,,mse,log1p,False,0.0,log1p,0.2892647344749973,13.330016331003412,22.662386174442197,-0.10548404668223546,1.0,0.2869436583875471,,,0,25.697351041999354,,826
channel_control,channel_aux,NeuralNet,,mse,residual,False,0.0,log1p,0.2604858046529504,12.003813863865666,19.72148068972708,-0.06509693667404454,1.0,0.26206910176314563,,,0,0.0,loss_mse,826
channel_history_only,channel_aux,NeuralNet,,mse,residual,True,0.0,log1p,0.2721191772473363,12.53990771903008,19.386325290426143,-0.07322030191316563,1.0,0.28513245561766787,,,0,24.586076457999297,,826
channel_history_aux_0p05,channel_aux,NeuralNet,,mse,residual,True,0.05,log1p,0.26303324003510614,12.121205827694038,18.8487470784855,-0.08099633966068052,1.0,0.2761547140079637,0.09924070055123022,0.08723827151857452,813,26.905670500003907,,826
channel_history_aux_0p1,channel_aux,NeuralNet,,mse,residual,True,0.1,log1p,0.26394915963230664,12.163413610854082,19.09626612814892,-0.09320853278929567,1.0,0.2760349990041329,0.09903072723180836,0.0859875451388428,813,26.99010350000026,,826
channel_history_aux_0p2,channel_aux,NeuralNet,,mse,residual,True,0.2,log1p,0.26265321342731474,12.1036932854297,18.95689003872412,-0.09778794886926326,1.0,0.27420893175601607,0.09797111260529914,0.08271727143762289,813,27.01013995899848,,826
channel_history_aux_0p35,channel_aux,NeuralNet,,mse,residual,True,0.35,log1p,0.2662347591450308,12.26873954657882,19.388462984204125,-0.10482340224051753,1.0,0.27514303947634333,0.0944365360868934,0.07980420135630344,813,27.020467665999604,,826
final_half_none,final_sensitivity,NeuralNet,,mse,residual,False,0.0,log1p,0.2604858046529504,12.003813863865666,19.72148068972708,-0.06509693667404454,1.0,0.26206910176314563,,,0,0.0,loss_mse,826
final_half_365p0,final_sensitivity,NeuralNet,365.0,mse,residual,False,0.0,log1p,0.27418264774532564,12.63499741424185,20.360132056157475,-0.10013686378964558,1.0,0.27609625031154134,,,0,26.383023209004023,,826
tree_log1p,tree_target,XGBoost,,huber,residual,False,0.0,log1p,0.2816878926717406,12.98085719427646,21.29580811452652,-0.03269571471433844,1.0,0.2737582513365337,,,0,41.865663874996244,,826
tree_log1p,tree_target,LightGBM,,huber,residual,False,0.0,log1p,0.2731925347515408,12.58937062049997,20.082982370745945,-0.018080410140546767,1.0,0.2630754551529247,,,0,41.865663874996244,,826
tree_residual,tree_target,XGBoost,,huber,residual,False,0.0,residual,0.2830134824043629,13.041943564919382,21.59395326065615,-0.04280808097320581,1.0,0.27017617256851073,,,0,41.81837729200197,,826
tree_residual,tree_target,LightGBM,,huber,residual,False,0.0,residual,0.27761302685269873,12.793077553550257,21.11997325867607,-0.03163177993958454,1.0,0.27382334847138134,,,0,41.81837729200197,,826
tree_tweedie,tree_target,XGBoost,,huber,residual,False,0.0,tweedie,0.28054739841389653,12.928300469343952,20.945640871767196,0.012070056163276704,1.0,0.27333505141584186,,,0,42.58818612500181,,826
tree_tweedie,tree_target,LightGBM,,huber,residual,False,0.0,tweedie,0.26848681143124686,12.372519545229599,19.23470284400627,0.017231843833625516,1.0,0.26575655806829146,,,0,42.58818612500181,,826
