ProductId,horizon,DateKey,origin,origin_type,strategy,validation_stratum,pred_NeuralNet,pred_AppShare_NeuralNet,pred_QuantityApp_NeuralNet,pred_QuantityWeb_NeuralNet,actual_AppShare,fallback_NeuralNet,nonfinite_NeuralNet,catastrophic_NeuralNet,residual_guard_NeuralNet,residual_nonfinite_NeuralNet,residual_raw_min_NeuralNet,residual_raw_max_NeuralNet,safety_limit_NeuralNet,pred_NeuralNet_seed42,actual,ProductAvailable,baseline,pred_SeasonalNaive,pred_MovingAvg28
1,1,2023-01-11,2023-01-10,development,direct,winter_test_like,52.463454830742826,0.08644458,4.535181269131127,47.928274734261294,0.0425531914893617,False,False,False,False,False,,,,52.463454830742826,47.0,True,66.3,50.0,81.92857142857143
2,1,2023-01-11,2023-01-10,development,direct,winter_test_like,78.67842834473045,0.06428703,5.058002420939092,73.62042768239127,0.08333333333333333,False,False,False,False,False,,,,78.67842834473045,48.0,True,58.9,76.0,67.25
3,1,2023-01-11,2023-01-10,development,direct,winter_test_like,17.394780143099947,0.113649994,1.9769166612412354,15.417864000263558,0.07692307692307693,False,False,False,False,False,,,,17.394780143099947,26.0,True,49.9,19.0,54.67857142857143
4,1,2023-01-11,2023-01-10,development,direct,winter_test_like,74.72209361838719,0.09258173,6.917900443153706,67.80419150506454,0.058823529411764705,False,False,False,False,False,,,,74.72209361838719,68.0,True,81.1,80.0,95.82142857142857
5,1,2023-01-11,2023-01-10,development,direct,winter_test_like,90.36019194485296,0.1589008,14.358306550280975,76.00188539457199,0.09836065573770492,False,False,False,False,False,,,,90.36019194485296,122.0,True,117.0,141.0,116.03571428571429
6,1,2023-01-11,2023-01-10,development,direct,winter_test_like,23.877058775026864,0.2050079,4.894985578012869,18.982072841218095,0.16,False,False,False,False,False,,,,23.877058775026864,25.0,True,17.0,23.0,17.0
7,1,2023-01-11,2023-01-10,development,direct,winter_test_like,9.199450765473749,0.103792235,0.9548315580690618,8.244619070322189,0.21739130434782608,False,False,False,False,False,,,,9.199450765473749,23.0,True,21.5,34.0,14.892857142857142
8,1,2023-01-11,2023-01-10,development,direct,winter_test_like,16.76706329665171,0.14239839,2.3876027714175474,14.379461024931588,0.15384615384615385,False,False,False,False,False,,,,16.76706329665171,26.0,True,19.4,14.0,20.821428571428573
9,1,2023-01-11,2023-01-10,development,direct,winter_test_like,31.43397944819263,0.27116197,8.523699901388824,22.910279546803807,0.35,False,False,False,False,False,,,,31.43397944819263,40.0,True,62.2,124.0,38.392857142857146
10,1,2023-01-11,2023-01-10,development,direct,winter_test_like,55.24517763052258,0.13071612,7.221435005400278,48.0237442715569,0.10638297872340426,False,False,False,False,False,,,,55.24517763052258,47.0,True,37.8,63.0,32.142857142857146
11,1,2023-01-11,2023-01-10,development,direct,winter_test_like,39.43301972036371,0.08112319,3.1989322776248494,36.23408803033664,0.030303030303030304,False,False,False,False,False,,,,39.43301972036371,33.0,True,61.8,53.0,74.64285714285714
12,1,2023-01-11,2023-01-10,development,direct,winter_test_like,14.315610421090833,0.21218769,3.037596342309514,11.2780138654621,0.2,False,False,False,False,False,,,,14.315610421090833,15.0,True,38.2,62.0,26.785714285714285
13,1,2023-01-11,2023-01-10,development,direct,winter_test_like,48.164880361441696,0.120449804,5.801450388121358,42.36343104988931,0.19607843137254902,False,False,False,False,False,,,,48.164880361441696,51.0,True,43.7,54.0,40.42857142857143
14,1,2023-01-11,2023-01-10,development,direct,winter_test_like,41.928398821630026,0.21152991,8.869110452848842,33.05928836878118,0.32727272727272727,False,False,False,False,False,,,,41.928398821630026,55.0,True,25.9,42.0,24.607142857142858
15,1,2023-01-11,2023-01-10,development,direct,winter_test_like,41.248287625248835,0.10635412,4.386925224376306,36.86136240087253,0.23636363636363636,False,False,False,False,False,,,,41.248287625248835,55.0,True,41.0,65.0,32.17857142857143
16,1,2023-01-11,2023-01-10,development,direct,winter_test_like,35.03079146506046,0.1095668,3.8382117326738414,31.192579471386882,0.16666666666666666,False,False,False,False,False,,,,35.03079146506046,48.0,True,80.9,73.0,70.89285714285714
17,1,2023-01-11,2023-01-10,development,direct,winter_test_like,19.314510174456686,0.14602193,2.8203420983288425,16.494167500510585,0.16666666666666666,False,False,False,False,False,,,,19.314510174456686,18.0,True,15.7,15.0,17.392857142857142
18,1,2023-01-11,2023-01-10,development,direct,winter_test_like,20.141343899201523,0.19070907,3.8411369509024915,16.300207248428443,0.34615384615384615,False,False,False,False,False,,,,20.141343899201523,26.0,True,40.1,60.0,35.285714285714285
19,1,2023-01-11,2023-01-10,development,direct,winter_test_like,111.57933177642995,0.15225399,16.988397951784677,94.59093382464528,0.25675675675675674,False,False,False,False,False,,,,111.57933177642995,74.0,True,46.5,107.0,38.607142857142854
20,1,2023-01-11,2023-01-10,development,direct,winter_test_like,30.222881321781326,0.06094974,1.8420767304682661,28.380804478724052,0.0,False,False,False,False,False,,,,30.222881321781326,57.0,True,41.3,40.0,40.5
21,1,2023-01-11,2023-01-10,development,direct,winter_test_like,20.63068722619521,0.18507442,3.818212447485817,16.812474163867,0.14814814814814814,False,False,False,False,False,,,,20.63068722619521,27.0,True,23.4,25.0,20.5
22,1,2023-01-11,2023-01-10,development,direct,winter_test_like,4.274379222880053,0.19645362,0.8397172545886391,3.4346619045981996,0.0,False,False,False,False,False,,,,4.274379222880053,6.0,True,16.4,3.0,17.428571428571427
23,1,2023-01-11,2023-01-10,development,direct,winter_test_like,42.266551986287645,0.14239137,6.01839218953348,36.24815916693346,0.16666666666666666,False,False,False,False,False,,,,42.266551986287645,42.0,True,41.8,56.0,37.785714285714285
24,1,2023-01-11,2023-01-10,development,direct,winter_test_like,10.812374662599028,0.000685171,0.007408325466379944,10.804966505801943,,False,False,False,False,False,,,,10.812374662599028,0.0,False,,,
25,1,2023-01-11,2023-01-10,development,direct,winter_test_like,32.0355391435999,0.20513546,6.571625208121043,25.463913935478853,0.175,False,False,False,False,False,,,,32.0355391435999,40.0,True,45.7,75.0,30.678571428571427
26,1,2023-01-11,2023-01-10,development,direct,winter_test_like,0.8555364352214819,0.07035756,0.06019345702416767,0.7953429781973143,,False,False,False,False,False,,,,0.8555364352214819,0.0,False,5.666666666666667,5.666666666666667,5.454545454545454
