ProductId,horizon,DateKey,origin,origin_type,strategy,validation_stratum,pred_NeuralNet,fallback_NeuralNet,nonfinite_NeuralNet,catastrophic_NeuralNet,residual_guard_NeuralNet,residual_nonfinite_NeuralNet,residual_raw_min_NeuralNet,residual_raw_max_NeuralNet,safety_limit_NeuralNet,pred_NeuralNet_seed42,actual,ProductAvailable,baseline,pred_SeasonalNaive,pred_MovingAvg28
1,1,2023-01-11,2023-01-10,development,direct,winter_test_like,52.951621319866874,False,False,False,False,False,,,,52.951621319866874,47.0,True,66.3,50.0,81.92857142857143
2,1,2023-01-11,2023-01-10,development,direct,winter_test_like,77.37287004036702,False,False,False,False,False,,,,77.37287004036702,48.0,True,58.9,76.0,67.25
3,1,2023-01-11,2023-01-10,development,direct,winter_test_like,18.491672689958246,False,False,False,False,False,,,,18.491672689958246,26.0,True,49.9,19.0,54.67857142857143
4,1,2023-01-11,2023-01-10,development,direct,winter_test_like,74.24684654805527,False,False,False,False,False,,,,74.24684654805527,68.0,True,81.1,80.0,95.82142857142857
5,1,2023-01-11,2023-01-10,development,direct,winter_test_like,91.72241652697905,False,False,False,False,False,,,,91.72241652697905,122.0,True,117.0,141.0,116.03571428571429
6,1,2023-01-11,2023-01-10,development,direct,winter_test_like,23.582411195671494,False,False,False,False,False,,,,23.582411195671494,25.0,True,17.0,23.0,17.0
7,1,2023-01-11,2023-01-10,development,direct,winter_test_like,9.373596675819812,False,False,False,False,False,,,,9.373596675819812,23.0,True,21.5,34.0,14.892857142857142
8,1,2023-01-11,2023-01-10,development,direct,winter_test_like,17.44546141577891,False,False,False,False,False,,,,17.44546141577891,26.0,True,19.4,14.0,20.821428571428573
9,1,2023-01-11,2023-01-10,development,direct,winter_test_like,30.932113583798028,False,False,False,False,False,,,,30.932113583798028,40.0,True,62.2,124.0,38.392857142857146
10,1,2023-01-11,2023-01-10,development,direct,winter_test_like,56.25294903748382,False,False,False,False,False,,,,56.25294903748382,47.0,True,37.8,63.0,32.142857142857146
11,1,2023-01-11,2023-01-10,development,direct,winter_test_like,41.65146371516339,False,False,False,False,False,,,,41.65146371516339,33.0,True,61.8,53.0,74.64285714285714
12,1,2023-01-11,2023-01-10,development,direct,winter_test_like,14.344308143679454,False,False,False,False,False,,,,14.344308143679454,15.0,True,38.2,62.0,26.785714285714285
13,1,2023-01-11,2023-01-10,development,direct,winter_test_like,47.58868838135551,False,False,False,False,False,,,,47.58868838135551,51.0,True,43.7,54.0,40.42857142857143
14,1,2023-01-11,2023-01-10,development,direct,winter_test_like,39.85944445927856,False,False,False,False,False,,,,39.85944445927856,55.0,True,25.9,42.0,24.607142857142858
15,1,2023-01-11,2023-01-10,development,direct,winter_test_like,41.00097377545402,False,False,False,False,False,,,,41.00097377545402,55.0,True,41.0,65.0,32.17857142857143
16,1,2023-01-11,2023-01-10,development,direct,winter_test_like,35.66428731301741,False,False,False,False,False,,,,35.66428731301741,48.0,True,80.9,73.0,70.89285714285714
17,1,2023-01-11,2023-01-10,development,direct,winter_test_like,19.537461782777825,False,False,False,False,False,,,,19.537461782777825,18.0,True,15.7,15.0,17.392857142857142
