ProductId,horizon,DateKey,origin,origin_type,strategy,validation_stratum,pred_NeuralNet,fallback_NeuralNet,nonfinite_NeuralNet,catastrophic_NeuralNet,residual_guard_NeuralNet,residual_nonfinite_NeuralNet,residual_raw_min_NeuralNet,residual_raw_max_NeuralNet,safety_limit_NeuralNet,pred_NeuralNet_seed42,actual,ProductAvailable,baseline,pred_SeasonalNaive,pred_MovingAvg28
1,1,2023-01-11,2023-01-10,development,direct,winter_test_like,55.25937714929145,False,False,False,False,False,,,,55.25937714929145,47.0,True,66.3,50.0,81.92857142857143
2,1,2023-01-11,2023-01-10,development,direct,winter_test_like,75.71623628856304,False,False,False,False,False,,,,75.71623628856304,48.0,True,58.9,76.0,67.25
3,1,2023-01-11,2023-01-10,development,direct,winter_test_like,17.15483844420683,False,False,False,False,False,,,,17.15483844420683,26.0,True,49.9,19.0,54.67857142857143
4,1,2023-01-11,2023-01-10,development,direct,winter_test_like,76.69425629074802,False,False,False,False,False,,,,76.69425629074802,68.0,True,81.1,80.0,95.82142857142857
5,1,2023-01-11,2023-01-10,development,direct,winter_test_like,102.27600532499507,False,False,False,False,False,,,,102.27600532499507,122.0,True,117.0,141.0,116.03571428571429
6,1,2023-01-11,2023-01-10,development,direct,winter_test_like,26.874515093535738,False,False,False,False,False,,,,26.874515093535738,25.0,True,17.0,23.0,17.0
7,1,2023-01-11,2023-01-10,development,direct,winter_test_like,12.074843439174789,False,False,False,False,False,,,,12.074843439174789,23.0,True,21.5,34.0,14.892857142857142
8,1,2023-01-11,2023-01-10,development,direct,winter_test_like,17.570287375029213,False,False,False,False,False,,,,17.570287375029213,26.0,True,19.4,14.0,20.821428571428573
9,1,2023-01-11,2023-01-10,development,direct,winter_test_like,36.689414497253416,False,False,False,False,False,,,,36.689414497253416,40.0,True,62.2,124.0,38.392857142857146
10,1,2023-01-11,2023-01-10,development,direct,winter_test_like,55.74368917595328,False,False,False,False,False,,,,55.74368917595328,47.0,True,37.8,63.0,32.142857142857146
11,1,2023-01-11,2023-01-10,development,direct,winter_test_like,32.01971356901122,False,False,False,False,False,,,,32.01971356901122,33.0,True,61.8,53.0,74.64285714285714
12,1,2023-01-11,2023-01-10,development,direct,winter_test_like,13.627756780481349,False,False,False,False,False,,,,13.627756780481349,15.0,True,38.2,62.0,26.785714285714285
13,1,2023-01-11,2023-01-10,development,direct,winter_test_like,44.71895833331761,False,False,False,False,False,,,,44.71895833331761,51.0,True,43.7,54.0,40.42857142857143
14,1,2023-01-11,2023-01-10,development,direct,winter_test_like,43.97447306923039,False,False,False,False,False,,,,43.97447306923039,55.0,True,25.9,42.0,24.607142857142858
15,1,2023-01-11,2023-01-10,development,direct,winter_test_like,44.602306637578224,False,False,False,False,False,,,,44.602306637578224,55.0,True,41.0,65.0,32.17857142857143
16,1,2023-01-11,2023-01-10,development,direct,winter_test_like,44.165945500371684,False,False,False,False,False,,,,44.165945500371684,48.0,True,80.9,73.0,70.89285714285714
17,1,2023-01-11,2023-01-10,development,direct,winter_test_like,17.57501350405212,False,False,False,False,False,,,,17.57501350405212,18.0,True,15.7,15.0,17.392857142857142
18,1,2023-01-11,2023-01-10,development,direct,winter_test_like,21.13579898970413,False,False,False,False,False,,,,21.13579898970413,26.0,True,40.1,60.0,35.285714285714285
19,1,2023-01-11,2023-01-10,development,direct,winter_test_like,96.03182034640558,False,False,False,False,False,,,,96.03182034640558,74.0,True,46.5,107.0,38.607142857142854
20,1,2023-01-11,2023-01-10,development,direct,winter_test_like,34.17706427410079,False,False,False,False,False,,,,34.17706427410079,57.0,True,41.3,40.0,40.5
21,1,2023-01-11,2023-01-10,development,direct,winter_test_like,17.515627454401503,False,False,False,False,False,,,,17.515627454401503,27.0,True,23.4,25.0,20.5
22,1,2023-01-11,2023-01-10,development,direct,winter_test_like,6.916702696644715,False,False,False,False,False,,,,6.916702696644715,6.0,True,16.4,3.0,17.428571428571427
23,1,2023-01-11,2023-01-10,development,direct,winter_test_like,43.99525436980515,False,False,False,False,False,,,,43.99525436980515,42.0,True,41.8,56.0,37.785714285714285
24,1,2023-01-11,2023-01-10,development,direct,winter_test_like,1.527936885051793,False,False,False,False,False,,,,1.527936885051793,0.0,False,,,
25,1,2023-01-11,2023-01-10,development,direct,winter_test_like,32.721664517261445,False,False,False,False,False,,,,32.721664517261445,40.0,True,45.7,75.0,30.678571428571427
26,1,2023-01-11,2023-01-10,development,direct,winter_test_like,0.5870078766101827,False,False,False,False,False,,,,0.5870078766101827,0.0,False,5.666666666666667,5.666666666666667,5.454545454545454
27,1,2023-01-11,2023-01-10,development,direct,winter_test_like,22.1623196525984,False,False,False,False,False,,,,22.1623196525984,35.0,True,33.4,52.0,26.416666666666668
28,1,2023-01-11,2023-01-10,development,direct,winter_test_like,19.687382403467513,False,False,False,False,False,,,,19.687382403467513,28.0,True,4.7,6.0,5.107142857142857
1,2,2023-01-12,2023-01-10,development,direct,winter_test_like,47.85325994941126,False,False,False,False,False,,,,47.85325994941126,36.0,True,60.6,57.0,81.92857142857143
2,2,2023-01-12,2023-01-10,development,direct,winter_test_like,68.69076329600722,False,False,False,False,False,,,,68.69076329600722,49.0,True,63.0,89.0,67.25
3,2,2023-01-12,2023-01-10,development,direct,winter_test_like,6.472414627303871,False,False,False,False,False,,,,6.472414627303871,10.0,True,37.4,15.0,54.67857142857143
4,2,2023-01-12,2023-01-10,development,direct,winter_test_like,67.49905178779726,False,False,False,False,False,,,,67.49905178779726,52.0,True,87.3,88.0,95.82142857142857
5,2,2023-01-12,2023-01-10,development,direct,winter_test_like,82.58584134445559,False,False,False,False,False,,,,82.58584134445559,74.0,True,88.0,117.0,116.03571428571429
6,2,2023-01-12,2023-01-10,development,direct,winter_test_like,22.93943634578729,False,False,False,False,False,,,,22.93943634578729,26.0,True,13.5,21.0,17.0
7,2,2023-01-12,2023-01-10,development,direct,winter_test_like,9.480202696167748,False,False,False,False,False,,,,9.480202696167748,18.0,True,13.8,21.0,14.892857142857142
8,2,2023-01-12,2023-01-10,development,direct,winter_test_like,14.983820163580502,False,False,False,False,False,,,,14.983820163580502,27.0,True,17.5,13.0,20.821428571428573
9,2,2023-01-12,2023-01-10,development,direct,winter_test_like,26.087095240090935,False,False,False,False,False,,,,26.087095240090935,44.0,True,46.5,81.0,38.392857142857146
10,2,2023-01-12,2023-01-10,development,direct,winter_test_like,48.202610522913915,False,False,False,False,False,,,,48.202610522913915,44.0,True,41.8,89.0,32.142857142857146
11,2,2023-01-12,2023-01-10,development,direct,winter_test_like,27.208324605005966,False,False,False,False,False,,,,27.208324605005966,45.0,True,61.7,33.0,74.64285714285714
12,2,2023-01-12,2023-01-10,development,direct,winter_test_like,10.65671733228446,False,False,False,False,False,,,,10.65671733228446,21.0,True,22.1,34.0,26.785714285714285
13,2,2023-01-12,2023-01-10,development,direct,winter_test_like,38.8286342741163,False,False,False,False,False,,,,38.8286342741163,50.0,True,31.3,41.0,40.42857142857143
14,2,2023-01-12,2023-01-10,development,direct,winter_test_like,40.795390543853074,False,False,False,False,False,,,,40.795390543853074,32.0,True,20.0,36.0,24.607142857142858
15,2,2023-01-12,2023-01-10,development,direct,winter_test_like,40.4326940609525,False,False,False,False,False,,,,40.4326940609525,45.0,True,37.7,48.0,32.17857142857143
16,2,2023-01-12,2023-01-10,development,direct,winter_test_like,31.90031303570616,False,False,False,False,False,,,,31.90031303570616,46.0,True,62.3,47.0,70.89285714285714
17,2,2023-01-12,2023-01-10,development,direct,winter_test_like,13.183375047371069,False,False,False,False,False,,,,13.183375047371069,20.0,True,11.1,13.0,17.392857142857142
18,2,2023-01-12,2023-01-10,development,direct,winter_test_like,16.324558279832825,False,False,False,False,False,,,,16.324558279832825,19.0,True,38.8,73.0,35.285714285714285
19,2,2023-01-12,2023-01-10,development,direct,winter_test_like,85.90330521857018,False,False,False,False,False,,,,85.90330521857018,58.0,True,44.8,105.0,38.607142857142854
20,2,2023-01-12,2023-01-10,development,direct,winter_test_like,29.016706531759223,False,False,False,False,False,,,,29.016706531759223,36.0,True,46.7,68.0,40.5
21,2,2023-01-12,2023-01-10,development,direct,winter_test_like,13.643094685733356,False,False,False,False,False,,,,13.643094685733356,25.0,True,20.5,29.0,20.5
22,2,2023-01-12,2023-01-10,development,direct,winter_test_like,7.048982523675793,False,False,False,False,False,,,,7.048982523675793,3.0,True,10.8,7.0,17.428571428571427
23,2,2023-01-12,2023-01-10,development,direct,winter_test_like,36.177878639479694,False,False,False,False,False,,,,36.177878639479694,26.0,True,30.9,39.0,37.785714285714285
24,2,2023-01-12,2023-01-10,development,direct,winter_test_like,1.3981686276187337,False,False,False,False,False,,,,1.3981686276187337,0.0,False,,,
25,2,2023-01-12,2023-01-10,development,direct,winter_test_like,23.037242088815045,False,False,False,False,False,,,,23.037242088815045,37.0,True,31.1,56.0,30.678571428571427
26,2,2023-01-12,2023-01-10,development,direct,winter_test_like,0.06136659537618442,False,False,False,False,False,,,,0.06136659537618442,1.0,False,2.857142857142857,0.0,5.454545454545454
27,2,2023-01-12,2023-01-10,development,direct,winter_test_like,19.39874411533603,False,False,False,False,False,,,,19.39874411533603,21.0,True,27.666666666666668,38.0,26.416666666666668
28,2,2023-01-12,2023-01-10,development,direct,winter_test_like,16.80202185882025,False,False,False,False,False,,,,16.80202185882025,11.0,True,4.5,7.0,5.107142857142857
1,3,2023-01-13,2023-01-10,development,direct,winter_test_like,48.58515085665582,False,False,False,False,False,,,,48.58515085665582,45.0,True,75.8,68.0,81.92857142857143
