ProductId,horizon,DateKey,origin,origin_type,strategy,validation_stratum,pred_NeuralNet,fallback_NeuralNet,nonfinite_NeuralNet,catastrophic_NeuralNet,residual_guard_NeuralNet,residual_nonfinite_NeuralNet,residual_raw_min_NeuralNet,residual_raw_max_NeuralNet,safety_limit_NeuralNet,pred_NeuralNet_seed42,actual,ProductAvailable,baseline,pred_SeasonalNaive,pred_MovingAvg28
1,1,2023-01-11,2023-01-10,development,direct,winter_test_like,49.8153430514547,False,False,False,False,False,,,,49.8153430514547,47.0,True,66.3,50.0,81.92857142857143
2,1,2023-01-11,2023-01-10,development,direct,winter_test_like,53.0242001165459,False,False,False,False,False,,,,53.0242001165459,48.0,True,58.9,76.0,67.25
3,1,2023-01-11,2023-01-10,development,direct,winter_test_like,16.3813194092619,False,False,False,False,False,,,,16.3813194092619,26.0,True,49.9,19.0,54.67857142857143
4,1,2023-01-11,2023-01-10,development,direct,winter_test_like,89.39974680117196,False,False,False,False,False,,,,89.39974680117196,68.0,True,81.1,80.0,95.82142857142857
5,1,2023-01-11,2023-01-10,development,direct,winter_test_like,81.67919626748102,False,False,False,False,False,,,,81.67919626748102,122.0,True,117.0,141.0,116.03571428571429
6,1,2023-01-11,2023-01-10,development,direct,winter_test_like,27.891765492396125,False,False,False,False,False,,,,27.891765492396125,25.0,True,17.0,23.0,17.0
7,1,2023-01-11,2023-01-10,development,direct,winter_test_like,14.46332407224406,False,False,False,False,False,,,,14.46332407224406,23.0,True,21.5,34.0,14.892857142857142
8,1,2023-01-11,2023-01-10,development,direct,winter_test_like,19.103938994927507,False,False,False,False,False,,,,19.103938994927507,26.0,True,19.4,14.0,20.821428571428573
9,1,2023-01-11,2023-01-10,development,direct,winter_test_like,30.534140538117096,False,False,False,False,False,,,,30.534140538117096,40.0,True,62.2,124.0,38.392857142857146
10,1,2023-01-11,2023-01-10,development,direct,winter_test_like,50.74176146055217,False,False,False,False,False,,,,50.74176146055217,47.0,True,37.8,63.0,32.142857142857146
11,1,2023-01-11,2023-01-10,development,direct,winter_test_like,36.26513625291036,False,False,False,False,False,,,,36.26513625291036,33.0,True,61.8,53.0,74.64285714285714
12,1,2023-01-11,2023-01-10,development,direct,winter_test_like,22.457286451581876,False,False,False,False,False,,,,22.457286451581876,15.0,True,38.2,62.0,26.785714285714285
13,1,2023-01-11,2023-01-10,development,direct,winter_test_like,46.0260661704538,False,False,False,False,False,,,,46.0260661704538,51.0,True,43.7,54.0,40.42857142857143
14,1,2023-01-11,2023-01-10,development,direct,winter_test_like,42.36726174273884,False,False,False,False,False,,,,42.36726174273884,55.0,True,25.9,42.0,24.607142857142858
15,1,2023-01-11,2023-01-10,development,direct,winter_test_like,45.53696373371978,False,False,False,False,False,,,,45.53696373371978,55.0,True,41.0,65.0,32.17857142857143
16,1,2023-01-11,2023-01-10,development,direct,winter_test_like,47.10244355087812,False,False,False,False,False,,,,47.10244355087812,48.0,True,80.9,73.0,70.89285714285714
17,1,2023-01-11,2023-01-10,development,direct,winter_test_like,23.062079130164136,False,False,False,False,False,,,,23.062079130164136,18.0,True,15.7,15.0,17.392857142857142
18,1,2023-01-11,2023-01-10,development,direct,winter_test_like,29.37511871040184,False,False,False,False,False,,,,29.37511871040184,26.0,True,40.1,60.0,35.285714285714285
19,1,2023-01-11,2023-01-10,development,direct,winter_test_like,63.38482003225114,False,False,False,False,False,,,,63.38482003225114,74.0,True,46.5,107.0,38.607142857142854
20,1,2023-01-11,2023-01-10,development,direct,winter_test_like,34.76399741493695,False,False,False,False,False,,,,34.76399741493695,57.0,True,41.3,40.0,40.5
21,1,2023-01-11,2023-01-10,development,direct,winter_test_like,28.077019338253216,False,False,False,False,False,,,,28.077019338253216,27.0,True,23.4,25.0,20.5
22,1,2023-01-11,2023-01-10,development,direct,winter_test_like,9.862843162627858,False,False,False,False,False,,,,9.862843162627858,6.0,True,16.4,3.0,17.428571428571427
23,1,2023-01-11,2023-01-10,development,direct,winter_test_like,43.79618904143331,False,False,False,False,False,,,,43.79618904143331,42.0,True,41.8,56.0,37.785714285714285
24,1,2023-01-11,2023-01-10,development,direct,winter_test_like,0.0,False,False,False,False,False,,,,0.0,0.0,False,,,
25,1,2023-01-11,2023-01-10,development,direct,winter_test_like,34.33615275231839,False,False,False,False,False,,,,34.33615275231839,40.0,True,45.7,75.0,30.678571428571427
26,1,2023-01-11,2023-01-10,development,direct,winter_test_like,1.276594829953192,False,False,False,False,False,,,,1.276594829953192,0.0,False,5.666666666666667,5.666666666666667,5.454545454545454
27,1,2023-01-11,2023-01-10,development,direct,winter_test_like,22.418282197996202,False,False,False,False,False,,,,22.418282197996202,35.0,True,33.4,52.0,26.416666666666668
28,1,2023-01-11,2023-01-10,development,direct,winter_test_like,12.887495574369753,False,False,False,False,False,,,,12.887495574369753,28.0,True,4.7,6.0,5.107142857142857
1,2,2023-01-12,2023-01-10,development,direct,winter_test_like,46.15208816975334,False,False,False,False,False,,,,46.15208816975334,36.0,True,60.6,57.0,81.92857142857143
2,2,2023-01-12,2023-01-10,development,direct,winter_test_like,49.055680979389564,False,False,False,False,False,,,,49.055680979389564,49.0,True,63.0,89.0,67.25
