ProductId,horizon,DateKey,origin,origin_type,strategy,validation_stratum,pred_XGBoost,pred_LightGBM,fallback_XGBoost,nonfinite_XGBoost,catastrophic_XGBoost,residual_guard_XGBoost,residual_nonfinite_XGBoost,residual_raw_min_XGBoost,residual_raw_max_XGBoost,safety_limit_XGBoost,fallback_LightGBM,nonfinite_LightGBM,catastrophic_LightGBM,residual_guard_LightGBM,residual_nonfinite_LightGBM,residual_raw_min_LightGBM,residual_raw_max_LightGBM,safety_limit_LightGBM,actual,ProductAvailable,baseline,pred_SeasonalNaive,pred_MovingAvg28
1,1,2023-01-11,2023-01-10,development,direct,winter_test_like,58.081028,53.08416,False,False,False,False,False,,,,False,False,False,False,False,,,,47.0,True,66.3,50.0,81.92857142857143
2,1,2023-01-11,2023-01-10,development,direct,winter_test_like,61.487103,63.68339,False,False,False,False,False,,,,False,False,False,False,False,,,,48.0,True,58.9,76.0,67.25
3,1,2023-01-11,2023-01-10,development,direct,winter_test_like,26.03097,26.840834,False,False,False,False,False,,,,False,False,False,False,False,,,,26.0,True,49.9,19.0,54.67857142857143
4,1,2023-01-11,2023-01-10,development,direct,winter_test_like,67.070625,70.68031,False,False,False,False,False,,,,False,False,False,False,False,,,,68.0,True,81.1,80.0,95.82142857142857
5,1,2023-01-11,2023-01-10,development,direct,winter_test_like,87.501785,91.70571,False,False,False,False,False,,,,False,False,False,False,False,,,,122.0,True,117.0,141.0,116.03571428571429
6,1,2023-01-11,2023-01-10,development,direct,winter_test_like,24.886393,25.021448,False,False,False,False,False,,,,False,False,False,False,False,,,,25.0,True,17.0,23.0,17.0
7,1,2023-01-11,2023-01-10,development,direct,winter_test_like,12.517396,11.960911,False,False,False,False,False,,,,False,False,False,False,False,,,,23.0,True,21.5,34.0,14.892857142857142
8,1,2023-01-11,2023-01-10,development,direct,winter_test_like,17.393705,17.650686,False,False,False,False,False,,,,False,False,False,False,False,,,,26.0,True,19.4,14.0,20.821428571428573
9,1,2023-01-11,2023-01-10,development,direct,winter_test_like,32.032387,29.284765,False,False,False,False,False,,,,False,False,False,False,False,,,,40.0,True,62.2,124.0,38.392857142857146
10,1,2023-01-11,2023-01-10,development,direct,winter_test_like,47.046062,49.270226,False,False,False,False,False,,,,False,False,False,False,False,,,,47.0,True,37.8,63.0,32.142857142857146
11,1,2023-01-11,2023-01-10,development,direct,winter_test_like,50.468094,52.310535,False,False,False,False,False,,,,False,False,False,False,False,,,,33.0,True,61.8,53.0,74.64285714285714
12,1,2023-01-11,2023-01-10,development,direct,winter_test_like,18.254313,17.807652,False,False,False,False,False,,,,False,False,False,False,False,,,,15.0,True,38.2,62.0,26.785714285714285
13,1,2023-01-11,2023-01-10,development,direct,winter_test_like,38.167362,40.199314,False,False,False,False,False,,,,False,False,False,False,False,,,,51.0,True,43.7,54.0,40.42857142857143
14,1,2023-01-11,2023-01-10,development,direct,winter_test_like,40.979332,37.560097,False,False,False,False,False,,,,False,False,False,False,False,,,,55.0,True,25.9,42.0,24.607142857142858
15,1,2023-01-11,2023-01-10,development,direct,winter_test_like,38.95511,38.257446,False,False,False,False,False,,,,False,False,False,False,False,,,,55.0,True,41.0,65.0,32.17857142857143
16,1,2023-01-11,2023-01-10,development,direct,winter_test_like,46.057224,47.02016,False,False,False,False,False,,,,False,False,False,False,False,,,,48.0,True,80.9,73.0,70.89285714285714
17,1,2023-01-11,2023-01-10,development,direct,winter_test_like,20.493944,22.561289,False,False,False,False,False,,,,False,False,False,False,False,,,,18.0,True,15.7,15.0,17.392857142857142
18,1,2023-01-11,2023-01-10,development,direct,winter_test_like,24.844046,20.983934,False,False,False,False,False,,,,False,False,False,False,False,,,,26.0,True,40.1,60.0,35.285714285714285
19,1,2023-01-11,2023-01-10,development,direct,winter_test_like,61.71214,63.356583,False,False,False,False,False,,,,False,False,False,False,False,,,,74.0,True,46.5,107.0,38.607142857142854
20,1,2023-01-11,2023-01-10,development,direct,winter_test_like,35.36883,35.200813,False,False,False,False,False,,,,False,False,False,False,False,,,,57.0,True,41.3,40.0,40.5
21,1,2023-01-11,2023-01-10,development,direct,winter_test_like,24.801723,27.304718,False,False,False,False,False,,,,False,False,False,False,False,,,,27.0,True,23.4,25.0,20.5
22,1,2023-01-11,2023-01-10,development,direct,winter_test_like,3.0422413,4.44864,False,False,False,False,False,,,,False,False,False,False,False,,,,6.0,True,16.4,3.0,17.428571428571427
23,1,2023-01-11,2023-01-10,development,direct,winter_test_like,44.893883,39.07015,False,False,False,False,False,,,,False,False,False,False,False,,,,42.0,True,41.8,56.0,37.785714285714285
24,1,2023-01-11,2023-01-10,development,direct,winter_test_like,13.760048,10.850887,False,False,False,False,False,,,,False,False,False,False,False,,,,0.0,False,,,
25,1,2023-01-11,2023-01-10,development,direct,winter_test_like,30.835796,30.65998,False,False,False,False,False,,,,False,False,False,False,False,,,,40.0,True,45.7,75.0,30.678571428571427
26,1,2023-01-11,2023-01-10,development,direct,winter_test_like,1.7536778,0.89721596,False,False,False,False,False,,,,False,False,False,False,False,,,,0.0,False,5.666666666666667,5.666666666666667,5.454545454545454
27,1,2023-01-11,2023-01-10,development,direct,winter_test_like,22.392954,26.037334,False,False,False,False,False,,,,False,False,False,False,False,,,,35.0,True,33.4,52.0,26.416666666666668
28,1,2023-01-11,2023-01-10,development,direct,winter_test_like,19.957832,19.740238,False,False,False,False,False,,,,False,False,False,False,False,,,,28.0,True,4.7,6.0,5.107142857142857
1,2,2023-01-12,2023-01-10,development,direct,winter_test_like,61.24871,49.438114,False,False,False,False,False,,,,False,False,False,False,False,,,,36.0,True,60.6,57.0,81.92857142857143
2,2,2023-01-12,2023-01-10,development,direct,winter_test_like,63.52986,60.329758,False,False,False,False,False,,,,False,False,False,False,False,,,,49.0,True,63.0,89.0,67.25
3,2,2023-01-12,2023-01-10,development,direct,winter_test_like,11.956531,11.060266,False,False,False,False,False,,,,False,False,False,False,False,,,,10.0,True,37.4,15.0,54.67857142857143
4,2,2023-01-12,2023-01-10,development,direct,winter_test_like,72.64005,77.65073,False,False,False,False,False,,,,False,False,False,False,False,,,,52.0,True,87.3,88.0,95.82142857142857
5,2,2023-01-12,2023-01-10,development,direct,winter_test_like,82.16305,79.74355,False,False,False,False,False,,,,False,False,False,False,False,,,,74.0,True,88.0,117.0,116.03571428571429
6,2,2023-01-12,2023-01-10,development,direct,winter_test_like,23.991283,22.447184,False,False,False,False,False,,,,False,False,False,False,False,,,,26.0,True,13.5,21.0,17.0
7,2,2023-01-12,2023-01-10,development,direct,winter_test_like,10.749122,9.894537,False,False,False,False,False,,,,False,False,False,False,False,,,,18.0,True,13.8,21.0,14.892857142857142
8,2,2023-01-12,2023-01-10,development,direct,winter_test_like,17.612188,15.575216,False,False,False,False,False,,,,False,False,False,False,False,,,,27.0,True,17.5,13.0,20.821428571428573
9,2,2023-01-12,2023-01-10,development,direct,winter_test_like,28.31107,26.775969,False,False,False,False,False,,,,False,False,False,False,False,,,,44.0,True,46.5,81.0,38.392857142857146
10,2,2023-01-12,2023-01-10,development,direct,winter_test_like,41.87418,41.149258,False,False,False,False,False,,,,False,False,False,False,False,,,,44.0,True,41.8,89.0,32.142857142857146
11,2,2023-01-12,2023-01-10,development,direct,winter_test_like,51.054214,51.957947,False,False,False,False,False,,,,False,False,False,False,False,,,,45.0,True,61.7,33.0,74.64285714285714
12,2,2023-01-12,2023-01-10,development,direct,winter_test_like,18.871246,14.045051,False,False,False,False,False,,,,False,False,False,False,False,,,,21.0,True,22.1,34.0,26.785714285714285
13,2,2023-01-12,2023-01-10,development,direct,winter_test_like,37.200222,32.53635,False,False,False,False,False,,,,False,False,False,False,False,,,,50.0,True,31.3,41.0,40.42857142857143
14,2,2023-01-12,2023-01-10,development,direct,winter_test_like,40.427155,34.916286,False,False,False,False,False,,,,False,False,False,False,False,,,,32.0,True,20.0,36.0,24.607142857142858
15,2,2023-01-12,2023-01-10,development,direct,winter_test_like,39.175392,38.41673,False,False,False,False,False,,,,False,False,False,False,False,,,,45.0,True,37.7,48.0,32.17857142857143
16,2,2023-01-12,2023-01-10,development,direct,winter_test_like,44.369057,45.6421,False,False,False,False,False,,,,False,False,False,False,False,,,,46.0,True,62.3,47.0,70.89285714285714
17,2,2023-01-12,2023-01-10,development,direct,winter_test_like,19.395754,17.67342,False,False,False,False,False,,,,False,False,False,False,False,,,,20.0,True,11.1,13.0,17.392857142857142
18,2,2023-01-12,2023-01-10,development,direct,winter_test_like,19.800623,18.213913,False,False,False,False,False,,,,False,False,False,False,False,,,,19.0,True,38.8,73.0,35.285714285714285
19,2,2023-01-12,2023-01-10,development,direct,winter_test_like,59.19194,56.95621,False,False,False,False,False,,,,False,False,False,False,False,,,,58.0,True,44.8,105.0,38.607142857142854
20,2,2023-01-12,2023-01-10,development,direct,winter_test_like,34.403614,32.770893,False,False,False,False,False,,,,False,False,False,False,False,,,,36.0,True,46.7,68.0,40.5
21,2,2023-01-12,2023-01-10,development,direct,winter_test_like,24.34464,21.188057,False,False,False,False,False,,,,False,False,False,False,False,,,,25.0,True,20.5,29.0,20.5
22,2,2023-01-12,2023-01-10,development,direct,winter_test_like,3.8101215,5.873527,False,False,False,False,False,,,,False,False,False,False,False,,,,3.0,True,10.8,7.0,17.428571428571427
23,2,2023-01-12,2023-01-10,development,direct,winter_test_like,34.879322,33.89191,False,False,False,False,False,,,,False,False,False,False,False,,,,26.0,True,30.9,39.0,37.785714285714285
24,2,2023-01-12,2023-01-10,development,direct,winter_test_like,14.342044,9.787813,False,False,False,False,False,,,,False,False,False,False,False,,,,0.0,False,,,
25,2,2023-01-12,2023-01-10,development,direct,winter_test_like,26.249628,26.503246,False,False,False,False,False,,,,False,False,False,False,False,,,,37.0,True,31.1,56.0,30.678571428571427
26,2,2023-01-12,2023-01-10,development,direct,winter_test_like,1.7273432,0.88472337,False,False,False,False,False,,,,False,False,False,False,False,,,,1.0,False,2.857142857142857,0.0,5.454545454545454
27,2,2023-01-12,2023-01-10,development,direct,winter_test_like,24.617249,22.293327,False,False,False,False,False,,,,False,False,False,False,False,,,,21.0,True,27.666666666666668,38.0,26.416666666666668
28,2,2023-01-12,2023-01-10,development,direct,winter_test_like,19.88648,17.122845,False,False,False,False,False,,,,False,False,False,False,False,,,,11.0,True,4.5,7.0,5.107142857142857
1,3,2023-01-13,2023-01-10,development,direct,winter_test_like,54.929806,50.954697,False,False,False,False,False,,,,False,False,False,False,False,,,,45.0,True,75.8,68.0,81.92857142857143
2,3,2023-01-13,2023-01-10,development,direct,winter_test_like,50.409534,52.605854,False,False,False,False,False,,,,False,False,False,False,False,,,,46.0,True,77.5,120.0,67.25
3,3,2023-01-13,2023-01-10,development,direct,winter_test_like,8.473545,8.830612,False,False,False,False,False,,,,False,False,False,False,False,,,,4.0,True,30.6,13.0,54.67857142857143
4,3,2023-01-13,2023-01-10,development,direct,winter_test_like,62.21934,70.54088,False,False,False,False,False,,,,False,False,False,False,False,,,,47.0,True,78.3,81.0,95.82142857142857
5,3,2023-01-13,2023-01-10,development,direct,winter_test_like,67.69954,73.51088,False,False,False,False,False,,,,False,False,False,False,False,,,,61.0,True,99.1,143.0,116.03571428571429
6,3,2023-01-13,2023-01-10,development,direct,winter_test_like,12.372705,10.782392,False,False,False,False,False,,,,False,False,False,False,False,,,,18.0,True,10.6,13.0,17.0
7,3,2023-01-13,2023-01-10,development,direct,winter_test_like,9.642405,9.263615,False,False,False,False,False,,,,False,False,False,False,False,,,,10.0,True,19.3,34.0,14.892857142857142
8,3,2023-01-13,2023-01-10,development,direct,winter_test_like,13.719241,11.910183,False,False,False,False,False,,,,False,False,False,False,False,,,,22.0,True,13.5,10.0,20.821428571428573
9,3,2023-01-13,2023-01-10,development,direct,winter_test_like,23.798738,22.456795,False,False,False,False,False,,,,False,False,False,False,False,,,,33.0,True,24.5,36.0,38.392857142857146
