model,evaluation_regime,comparison_population,aggregation,n_folds,n_expected,n_actual,n_predicted,n_scored,coverage,MAE,RMSE,MAPE,WAPE,sMAPE,RMSLE,Bias,BiasRatio,n,strategy
NeuralNet,realized,common,global,3,630,630,630,630,1.0,15.437727114210354,28.36947497937775,62.420432635936805,0.30107940692667934,0.3170854508030332,0.4923489371986384,-6.530873117479031,-0.1273705248432588,630.0,direct
NeuralNet,realized,common,mean_fold,3,630,630,630,630,1.0,15.437727114210352,24.378293393510933,62.420432635936784,0.29121144069563054,0.3170854508030332,0.47494394803484946,-6.53087311747903,-0.06390292487466571,210.0,direct
Ensemble,realized,common,global,3,630,630,630,630,1.0,15.346697921162733,28.041299998201907,65.29472303389268,0.2993040798171229,0.31638294014787366,0.4952567900763558,-5.917385284716199,-0.11540577436681439,630.0,direct
Ensemble,realized,common,mean_fold,3,630,630,630,630,1.0,15.346697921162729,24.020729789344145,65.29472303389268,0.2933876740855224,0.31638294014787366,0.4733141583551941,-5.917385284716201,-0.044850923082531545,210.0,direct
XGBoost,realized,common,global,3,630,630,630,630,1.0,16.418970377483067,29.538472442667324,70.45920922938595,0.3202164299852748,0.33723171089139925,0.5207494732570958,-5.873671828375922,-0.11455323814744238,630.0,direct
XGBoost,realized,common,mean_fold,3,630,630,630,630,1.0,16.418970377483067,25.481449640790974,70.45920922938595,0.31671541855384233,0.3372317108913993,0.5017546553813098,-5.873671828375922,-0.03552996175120612,210.0,direct
LightGBM,realized,common,global,3,630,630,630,630,1.0,15.993301113446554,28.70099843836387,67.80808526573328,0.311914673605279,0.3319945854627238,0.5132821600581375,-5.379110270076328,-0.10490788688815549,630.0,direct
LightGBM,realized,common,mean_fold,3,630,630,630,630,1.0,15.993301113446554,24.576590041871253,67.80808526573328,0.3061502889329803,0.33199458546272376,0.4914730853693627,-5.379110270076327,-0.033239435102180366,210.0,direct
DynamicRidge,realized,common,global,3,630,630,630,630,1.0,19.58312491556955,34.47227673819338,73.5000239135087,0.3819264061173518,0.3872149256239083,0.5688605535120904,-3.740012652722616,-0.07294084051683275,630.0,direct
DynamicRidge,realized,common,mean_fold,3,630,630,630,630,1.0,19.583124915569545,32.10252395114886,73.5000239135087,0.3964587205135574,0.38721492562390836,0.5537620154249435,-3.740012652722616,-0.006278310024038919,210.0,direct
SeasonalNaive,realized,common,global,3,630,630,630,630,1.0,26.138359788359786,38.54495131148745,112.09692256240938,0.5097720541951727,0.5723105069850222,0.7879269290624726,-5.7029100529100525,-0.11122289983386476,630.0,direct
SeasonalNaive,realized,common,mean_fold,3,630,630,630,630,1.0,26.13835978835979,36.43583634227359,112.09692256240936,0.5515559299669793,0.5723105069850222,0.7850058086109374,-5.702910052910053,0.027991644220503653,210.0,direct
MovingAvg28,realized,common,global,3,630,630,630,630,1.0,26.478473796926178,44.654349217000124,94.0120219536753,0.5164052407535985,0.5431845109793711,0.7669777264043649,-15.843467078189303,-0.308992485504729,630.0,direct
MovingAvg28,realized,common,mean_fold,3,630,630,630,630,1.0,26.47847379692617,36.477960427847066,94.01202195367529,0.46561698083341624,0.5431845109793713,0.7556326068152875,-15.8434670781893,-0.1532999586102228,210.0,direct
NeuralNet,realized,model_specific,global,3,630,630,630,630,1.0,15.437727114210354,28.36947497937775,62.420432635936805,0.30107940692667934,0.3170854508030332,0.4923489371986384,-6.530873117479031,-0.1273705248432588,630.0,direct
NeuralNet,realized,model_specific,mean_fold,3,630,630,630,630,1.0,15.437727114210352,24.378293393510933,62.420432635936784,0.29121144069563054,0.3170854508030332,0.47494394803484946,-6.53087311747903,-0.06390292487466571,210.0,direct
Ensemble,realized,model_specific,global,3,630,630,630,630,1.0,15.346697921162733,28.041299998201907,65.29472303389268,0.2993040798171229,0.31638294014787366,0.4952567900763558,-5.917385284716199,-0.11540577436681439,630.0,direct
Ensemble,realized,model_specific,mean_fold,3,630,630,630,630,1.0,15.346697921162729,24.020729789344145,65.29472303389268,0.2933876740855224,0.31638294014787366,0.4733141583551941,-5.917385284716201,-0.044850923082531545,210.0,direct
XGBoost,realized,model_specific,global,3,630,630,630,630,1.0,16.418970377483067,29.538472442667324,70.45920922938595,0.3202164299852748,0.33723171089139925,0.5207494732570958,-5.873671828375922,-0.11455323814744238,630.0,direct
XGBoost,realized,model_specific,mean_fold,3,630,630,630,630,1.0,16.418970377483067,25.481449640790974,70.45920922938595,0.31671541855384233,0.3372317108913993,0.5017546553813098,-5.873671828375922,-0.03552996175120612,210.0,direct
LightGBM,realized,model_specific,global,3,630,630,630,630,1.0,15.993301113446554,28.70099843836387,67.80808526573328,0.311914673605279,0.3319945854627238,0.5132821600581375,-5.379110270076328,-0.10490788688815549,630.0,direct
LightGBM,realized,model_specific,mean_fold,3,630,630,630,630,1.0,15.993301113446554,24.576590041871253,67.80808526573328,0.3061502889329803,0.33199458546272376,0.4914730853693627,-5.379110270076327,-0.033239435102180366,210.0,direct
DynamicRidge,realized,model_specific,global,3,630,630,630,630,1.0,19.58312491556955,34.47227673819338,73.5000239135087,0.3819264061173518,0.3872149256239083,0.5688605535120904,-3.740012652722616,-0.07294084051683275,630.0,direct
DynamicRidge,realized,model_specific,mean_fold,3,630,630,630,630,1.0,19.583124915569545,32.10252395114886,73.5000239135087,0.3964587205135574,0.38721492562390836,0.5537620154249435,-3.740012652722616,-0.006278310024038919,210.0,direct
SeasonalNaive,realized,model_specific,global,3,630,630,630,630,1.0,26.138359788359786,38.54495131148745,112.09692256240938,0.5097720541951727,0.5723105069850222,0.7879269290624726,-5.7029100529100525,-0.11122289983386476,630.0,direct
SeasonalNaive,realized,model_specific,mean_fold,3,630,630,630,630,1.0,26.13835978835979,36.43583634227359,112.09692256240936,0.5515559299669793,0.5723105069850222,0.7850058086109374,-5.702910052910053,0.027991644220503653,210.0,direct
MovingAvg28,realized,model_specific,global,3,630,630,630,630,1.0,26.478473796926178,44.654349217000124,94.0120219536753,0.5164052407535985,0.5431845109793711,0.7669777264043649,-15.843467078189303,-0.308992485504729,630.0,direct
MovingAvg28,realized,model_specific,mean_fold,3,630,630,630,630,1.0,26.47847379692617,36.477960427847066,94.01202195367529,0.46561698083341624,0.5431845109793713,0.7556326068152875,-15.8434670781893,-0.1532999586102228,210.0,direct
NeuralNet,conditional,common,global,3,630,630,630,630,1.0,15.437727114210354,28.36947497937775,62.420432635936805,0.30107940692667934,0.3170854508030332,0.4923489371986384,-6.530873117479031,-0.1273705248432588,630.0,direct
NeuralNet,conditional,common,mean_fold,3,630,630,630,630,1.0,15.437727114210352,24.378293393510933,62.420432635936784,0.29121144069563054,0.3170854508030332,0.47494394803484946,-6.53087311747903,-0.06390292487466571,210.0,direct
Ensemble,conditional,common,global,3,630,630,630,630,1.0,15.346697921162733,28.041299998201907,65.29472303389268,0.2993040798171229,0.31638294014787366,0.4952567900763558,-5.917385284716199,-0.11540577436681439,630.0,direct
Ensemble,conditional,common,mean_fold,3,630,630,630,630,1.0,15.346697921162729,24.020729789344145,65.29472303389268,0.2933876740855224,0.31638294014787366,0.4733141583551941,-5.917385284716201,-0.044850923082531545,210.0,direct
XGBoost,conditional,common,global,3,630,630,630,630,1.0,16.418970377483067,29.538472442667324,70.45920922938595,0.3202164299852748,0.33723171089139925,0.5207494732570958,-5.873671828375922,-0.11455323814744238,630.0,direct
XGBoost,conditional,common,mean_fold,3,630,630,630,630,1.0,16.418970377483067,25.481449640790974,70.45920922938595,0.31671541855384233,0.3372317108913993,0.5017546553813098,-5.873671828375922,-0.03552996175120612,210.0,direct
LightGBM,conditional,common,global,3,630,630,630,630,1.0,15.993301113446554,28.70099843836387,67.80808526573328,0.311914673605279,0.3319945854627238,0.5132821600581375,-5.379110270076328,-0.10490788688815549,630.0,direct
LightGBM,conditional,common,mean_fold,3,630,630,630,630,1.0,15.993301113446554,24.576590041871253,67.80808526573328,0.3061502889329803,0.33199458546272376,0.4914730853693627,-5.379110270076327,-0.033239435102180366,210.0,direct
DynamicRidge,conditional,common,global,3,630,630,630,630,1.0,19.58312491556955,34.47227673819338,73.5000239135087,0.3819264061173518,0.3872149256239083,0.5688605535120904,-3.740012652722616,-0.07294084051683275,630.0,direct
DynamicRidge,conditional,common,mean_fold,3,630,630,630,630,1.0,19.583124915569545,32.10252395114886,73.5000239135087,0.3964587205135574,0.38721492562390836,0.5537620154249435,-3.740012652722616,-0.006278310024038919,210.0,direct
SeasonalNaive,conditional,common,global,3,630,630,630,630,1.0,26.138359788359786,38.54495131148745,112.09692256240938,0.5097720541951727,0.5723105069850222,0.7879269290624726,-5.7029100529100525,-0.11122289983386476,630.0,direct
SeasonalNaive,conditional,common,mean_fold,3,630,630,630,630,1.0,26.13835978835979,36.43583634227359,112.09692256240936,0.5515559299669793,0.5723105069850222,0.7850058086109374,-5.702910052910053,0.027991644220503653,210.0,direct
MovingAvg28,conditional,common,global,3,630,630,630,630,1.0,26.478473796926178,44.654349217000124,94.0120219536753,0.5164052407535985,0.5431845109793711,0.7669777264043649,-15.843467078189303,-0.308992485504729,630.0,direct
MovingAvg28,conditional,common,mean_fold,3,630,630,630,630,1.0,26.47847379692617,36.477960427847066,94.01202195367529,0.46561698083341624,0.5431845109793713,0.7556326068152875,-15.8434670781893,-0.1532999586102228,210.0,direct
NeuralNet,conditional,model_specific,global,3,630,630,630,630,1.0,15.437727114210354,28.36947497937775,62.420432635936805,0.30107940692667934,0.3170854508030332,0.4923489371986384,-6.530873117479031,-0.1273705248432588,630.0,direct
NeuralNet,conditional,model_specific,mean_fold,3,630,630,630,630,1.0,15.437727114210352,24.378293393510933,62.420432635936784,0.29121144069563054,0.3170854508030332,0.47494394803484946,-6.53087311747903,-0.06390292487466571,210.0,direct
Ensemble,conditional,model_specific,global,3,630,630,630,630,1.0,15.346697921162733,28.041299998201907,65.29472303389268,0.2993040798171229,0.31638294014787366,0.4952567900763558,-5.917385284716199,-0.11540577436681439,630.0,direct
Ensemble,conditional,model_specific,mean_fold,3,630,630,630,630,1.0,15.346697921162729,24.020729789344145,65.29472303389268,0.2933876740855224,0.31638294014787366,0.4733141583551941,-5.917385284716201,-0.044850923082531545,210.0,direct
XGBoost,conditional,model_specific,global,3,630,630,630,630,1.0,16.418970377483067,29.538472442667324,70.45920922938595,0.3202164299852748,0.33723171089139925,0.5207494732570958,-5.873671828375922,-0.11455323814744238,630.0,direct
XGBoost,conditional,model_specific,mean_fold,3,630,630,630,630,1.0,16.418970377483067,25.481449640790974,70.45920922938595,0.31671541855384233,0.3372317108913993,0.5017546553813098,-5.873671828375922,-0.03552996175120612,210.0,direct
LightGBM,conditional,model_specific,global,3,630,630,630,630,1.0,15.993301113446554,28.70099843836387,67.80808526573328,0.311914673605279,0.3319945854627238,0.5132821600581375,-5.379110270076328,-0.10490788688815549,630.0,direct
