origin_type,strategy,ProductId,model,n,actual_total,prediction_total,MAE,RMSE,MAPE,WAPE,sMAPE,RMSLE,Bias,BiasRatio
development,direct,1,NeuralNet,83,5033.0,4927.584768347664,19.32775583786301,34.84516447934815,43.47190983108237,0.3187370821662288,0.3449085970103444,0.42639201385818637,-1.2700630319558521,-0.020944810580634955
development,direct,1,Ensemble,83,5033.0,5140.192601699611,13.276190463774173,20.67256496139185,38.75311627684134,0.2189397592873547,0.29731857092967096,0.37217100629870653,1.2914771289109757,0.021297953844548176
development,direct,1,XGBoost,83,5033.0,4898.685782432556,14.054200930767749,27.563608695758845,35.19163362079102,0.23177005310028276,0.28819550450576203,0.3554009925502863,-1.618243585149926,-0.026686711219440464
development,direct,1,LightGBM,83,5033.0,5491.258049964905,13.980984435024032,23.714952045077744,43.42149261390099,0.23056262827478535,0.31115691489358527,0.4066761295832491,5.521181324878371,0.09105067553445356
development,direct,1,DynamicRidge,83,5033.0,6704.407558441162,29.734215242316925,60.32552412245855,74.31543549163413,0.490351652118479,0.4556393319024557,0.5996572549516229,20.137440463146532,0.33208971953927324
development,direct,1,SeasonalNaive,83,5033.0,5900.333333333333,49.41365461847389,78.36643750639112,186.40643834542624,0.8148884032055103,0.6714908849382958,1.0165004654379075,10.449799196787147,0.17232929333068414
development,direct,1,MovingAvg28,83,5033.0,4936.407407407406,53.211130235226605,89.98998544339618,206.17385513042132,0.8775131749500911,0.675080884650814,1.071266206363195,-1.1637661758143678,-0.019191852293382182
development,direct,2,NeuralNet,84,4428.0,4456.962386574094,12.301730506903736,19.86368933104229,40.524823583456104,0.23336616137757765,0.2625354375065036,0.38729665491961235,0.3447903163582607,0.006540737708693292
development,direct,2,Ensemble,84,4428.0,4774.796755911975,11.687105345074757,18.1637284065325,36.66817512346523,0.22170660546212276,0.2563946394297825,0.3581848130370658,4.128532808475883,0.07831905056729317
development,direct,2,XGBoost,84,4428.0,4509.291275978088,10.731963555018107,16.44179553181425,35.68232841360759,0.2035873845125386,0.27351165183734005,0.3712429748144004,0.9677532854534331,0.01835846340968572
development,direct,2,LightGBM,84,4428.0,5238.3781480789185,16.112952402659825,30.439196185222237,39.19662981209937,0.3056657637360942,0.28357576880689145,0.38035770043852996,9.64735890570141,0.18301222856344138
development,direct,2,DynamicRidge,84,4428.0,6044.367456436157,24.677798589070637,45.62580579720925,60.95524851452814,0.4681425206598766,0.37776160932600955,0.5274508241870165,19.242469719478063,0.36503330091150793
development,direct,2,SeasonalNaive,84,4428.0,6228.166666666666,33.43055555555556,47.068680119036145,211.33705861549225,0.6341839807286962,0.5907263852486168,0.8947809626395216,21.430555555555557,0.40654170430593195
development,direct,2,MovingAvg28,84,4428.0,5130.88888888889,38.59561602418746,56.784322860912226,206.48990434993487,0.7321661576404125,0.5770377254858123,0.9179460453259473,8.367724867724869,0.1587373281140219
development,direct,3,NeuralNet,84,4684.0,4403.531757558758,19.73579207250767,36.762691579988626,82.57147355414335,0.3539296614198643,0.4062579451741068,0.6178352422386358,-3.3389076481100286,-0.05987793391145226
development,direct,3,Ensemble,84,4684.0,4717.8131812734755,19.585645599213287,35.24987852904869,65.14855909975404,0.3512370261174031,0.39060119471699184,0.5407813951413225,0.40253787230327615,0.007218868760349102
development,direct,3,XGBoost,84,4684.0,4653.580410957336,18.88028157325018,34.943314591003656,53.37891373216293,0.3385874577611048,0.40200744832497337,0.49797195990389687,-0.362137964793614,-0.006494361452319295
development,direct,3,LightGBM,84,4684.0,5049.093963623047,23.123893011183966,42.356393795313245,62.31824878912933,0.4146897978094477,0.4036252521277584,0.5317181283445659,4.346356709798177,0.07794491110654289
development,direct,3,DynamicRidge,84,4684.0,6251.825688362122,32.40111928894406,79.11047860515968,121.4471778734003,0.5810619172227373,0.4641682135011641,0.7156226282102499,18.664591528120496,0.33471940400557676
development,direct,3,SeasonalNaive,84,4684.0,5680.5,47.38690476190476,79.31096498383226,475.7918991548801,0.8498078565328779,0.7213162815419197,1.2936895295424824,11.863095238095237,0.21274551665243382
development,direct,3,MovingAvg28,84,4684.0,4489.064814814814,53.49737024439405,83.47400536631939,463.81060683684814,0.9593892187295261,0.7654734406172927,1.3127196163226746,-2.3206569664903,-0.04161724705063732
development,direct,4,NeuralNet,84,4371.0,4038.823960573903,16.487284474843705,30.73114648538175,49.39752425247625,0.3168455492763375,0.36625745951075783,0.47131482366475985,-3.9544766598344876,-0.07599543340793799
development,direct,4,Ensemble,84,4371.0,4067.308167671477,13.813771389812208,27.424009512367384,48.071489557635196,0.26546712348300744,0.3406654928183573,0.43893315775291397,-3.6153789562919383,-0.06947879943457397
development,direct,4,XGBoost,84,4371.0,3787.154789209366,16.821827431519825,30.26284981469455,51.89200706549405,0.32327465208136935,0.3943165001600422,0.47650365692310986,-6.950538223698025,-0.13357245728451936
development,direct,4,LightGBM,84,4371.0,4273.186780929565,14.588195074172248,28.59903150678385,52.49944987459146,0.28034966511792925,0.3580923131615708,0.45828486884902137,-1.16444308417184,-0.02237776688868327
development,direct,4,DynamicRidge,84,4371.0,4858.551772356033,17.43234895240693,32.587070231686916,70.8966619681018,0.33500739235922716,0.4437240898513072,0.5537295095516045,5.8041877661432535,0.1115423867206665
