model,evaluation_regime,comparison_population,aggregation,n_folds,n_expected,n_actual,n_predicted,n_scored,coverage,MAE,RMSE,MAPE,WAPE,sMAPE,RMSLE,Bias,BiasRatio,n,strategy,horizon,origin_type
NeuralNet,realized,common,global,12,346,346,346,343,1.0,10.793274691007579,16.68876964980303,45.71079655816993,0.24036444741044016,0.29324220204552387,0.39892109873096265,3.2231444126302247,0.07177889452877334,343.0,direct,1,development
NeuralNet,realized,common,mean_fold,12,346,346,346,343,1.0,10.768162981205087,14.561107774437104,45.59403067051401,0.24918564892413866,0.29519958876885405,0.3829719598393692,3.2089895049943435,0.06562571001107352,28.583333333333332,direct,1,development
Ensemble,realized,common,global,12,346,346,346,343,1.0,10.463499719207443,15.618876357742124,40.021341331276474,0.2330204131728446,0.28755895143002225,0.37262769337911616,1.5152516672373633,0.03374440474369664,343.0,direct,1,development
Ensemble,realized,common,mean_fold,12,346,346,346,343,1.0,10.37946205265833,13.706795235280424,39.87907620084513,0.24146599383966835,0.2883286937723365,0.3578576928073654,1.5247076657557674,0.028835001216323444,28.583333333333332,direct,1,development
XGBoost,realized,common,global,12,346,346,346,343,1.0,12.48765070323694,20.41391044493756,41.208646012495485,0.27809792177705944,0.31339377602383955,0.3903766207529875,0.07921552675458503,0.0017641167171031464,343.0,direct,1,development
XGBoost,realized,common,mean_fold,12,346,346,346,343,1.0,12.350197241331678,16.97897358500755,40.98788826610968,0.27818254966213507,0.31356886794960886,0.37841448357788104,0.05669045534068921,0.004781777623362169,28.583333333333332,direct,1,development
LightGBM,realized,common,global,12,346,346,346,343,1.0,11.150062181164154,17.51258611276658,37.46931629160517,0.2483100459771007,0.2964715581779812,0.3773561322502878,0.8592712743636818,0.019135829574519078,343.0,direct,1,development
LightGBM,realized,common,mean_fold,12,346,346,346,343,1.0,11.09340805539074,15.146236183247831,37.39465060651074,0.2518843358337189,0.2968998934960136,0.36712666914560704,0.9110226413400797,0.010293080016657559,28.583333333333332,direct,1,development
DynamicRidge,realized,common,global,12,346,346,346,343,1.0,21.960964392121262,76.40932900210043,58.7684541228068,0.4890670553497983,0.37722580004093126,0.5114886809112394,6.788247603542951,0.15117315465622855,343.0,direct,1,development
DynamicRidge,realized,common,mean_fold,12,346,346,346,343,1.0,21.627786170180016,43.04788911497672,58.71108912544426,0.4197019874147369,0.37884748718274935,0.4967574011800389,6.453161011147419,0.10839023029445836,28.583333333333332,direct,1,development
