origin_type,strategy,origin,validation_stratum,ProductId,DateKey,horizon,actual,model,prediction,absolute_error,signed_error
development,direct,2022-11-20,holiday_event,25,2022-11-27,7,199.0,NeuralNet,30.862184144669794,168.13781585533022,-168.13781585533022
development,direct,2022-11-20,holiday_event,1,2022-11-27,7,466.0,NeuralNet,624.7384322544807,158.7384322544807,158.7384322544807
development,direct,2024-11-29,holiday_event,26,2024-12-01,2,361.0,NeuralNet,204.7509805154814,156.2490194845186,-156.2490194845186
development,direct,2024-11-29,holiday_event,3,2024-12-05,6,202.0,NeuralNet,57.38442215836674,144.61557784163327,-144.61557784163327
development,direct,2022-11-20,holiday_event,4,2022-11-25,5,359.0,NeuralNet,220.69579962215752,138.30420037784248,-138.30420037784248
development,direct,2024-11-29,holiday_event,3,2024-12-02,3,208.0,NeuralNet,82.15210295829866,125.84789704170134,-125.84789704170134
development,direct,2024-11-29,holiday_event,3,2024-12-01,2,334.0,NeuralNet,209.567681466016,124.43231853398399,-124.43231853398399
development,direct,2023-11-24,holiday_event,5,2023-12-01,7,80.0,NeuralNet,202.8418470872948,122.84184708729481,122.84184708729481
development,direct,2022-11-20,holiday_event,25,2022-11-25,5,139.0,NeuralNet,20.59593490787368,118.40406509212632,-118.40406509212632
development,direct,2024-11-29,holiday_event,1,2024-12-01,2,300.0,NeuralNet,193.3129469301119,106.6870530698881,-106.6870530698881
development,direct,2022-11-20,holiday_event,1,2022-11-22,2,267.0,NeuralNet,160.36086819909477,106.63913180090523,-106.63913180090523
development,direct,2024-11-29,holiday_event,3,2024-12-04,5,172.0,NeuralNet,67.25538498840596,104.74461501159404,-104.74461501159404
development,direct,2022-11-20,holiday_event,4,2022-11-27,7,416.0,NeuralNet,311.2673392083062,104.73266079169377,-104.73266079169377
development,direct,2024-11-29,holiday_event,25,2024-12-01,2,258.0,NeuralNet,156.0383337763615,101.9616662236385,-101.9616662236385
development,direct,2024-11-29,holiday_event,3,2024-12-06,7,217.0,NeuralNet,115.67476811490998,101.32523188509002,-101.32523188509002
development,direct,2022-11-20,holiday_event,13,2022-11-27,7,234.0,NeuralNet,133.02903443113823,100.97096556886177,-100.97096556886177
development,direct,2022-11-20,holiday_event,25,2022-11-26,6,128.0,NeuralNet,27.908845721746815,100.09115427825319,-100.09115427825319
development,direct,2022-11-20,holiday_event,1,2022-11-26,6,233.0,NeuralNet,138.07085621737392,94.92914378262608,-94.92914378262608
development,direct,2024-11-29,holiday_event,3,2024-12-03,4,175.0,NeuralNet,80.45783730268788,94.54216269731212,-94.54216269731212
development,direct,2023-11-24,holiday_event,27,2023-11-26,2,4.0,NeuralNet,93.47410217321253,89.47410217321253,89.47410217321253
development,direct,2022-11-20,holiday_event,4,2022-11-21,1,244.0,NeuralNet,331.35712002168145,87.35712002168145,87.35712002168145
development,direct,2022-11-20,holiday_event,22,2022-11-27,7,221.0,NeuralNet,133.9328014544879,87.0671985455121,-87.0671985455121
development,direct,2024-11-29,holiday_event,4,2024-12-05,6,123.0,NeuralNet,37.91976673309136,85.08023326690864,-85.08023326690864
development,direct,2024-11-29,holiday_event,4,2024-12-04,5,125.0,NeuralNet,40.268462276023264,84.73153772397674,-84.73153772397674
development,direct,2024-11-29,holiday_event,2,2024-12-02,3,168.0,NeuralNet,84.19359800098263,83.80640199901737,-83.80640199901737
development,direct,2022-11-20,holiday_event,1,2022-11-23,3,267.0,NeuralNet,187.18080628251573,79.81919371748427,-79.81919371748427
development,direct,2022-11-20,holiday_event,5,2022-11-24,4,173.0,NeuralNet,252.71132961911147,79.71132961911147,79.71132961911147
development,direct,2024-12-20,holiday_event,27,2024-12-23,3,22.0,NeuralNet,98.0063034790917,76.0063034790917,76.0063034790917
development,direct,2023-11-24,holiday_event,11,2023-11-26,2,308.0,NeuralNet,232.66176169409974,75.33823830590026,-75.33823830590026
development,direct,2024-11-29,holiday_event,1,2024-12-04,5,147.0,NeuralNet,72.40315015211587,74.59684984788413,-74.59684984788413
development,direct,2024-11-29,holiday_event,1,2024-12-05,6,140.0,NeuralNet,68.00552824606413,71.99447175393587,-71.99447175393587
development,direct,2022-11-20,holiday_event,3,2022-11-21,1,178.0,NeuralNet,249.76037853864645,71.76037853864645,71.76037853864645
development,direct,2022-11-20,holiday_event,15,2022-11-27,7,148.0,NeuralNet,76.71891615204726,71.28108384795274,-71.28108384795274
development,direct,2022-11-20,holiday_event,4,2022-11-22,2,227.0,NeuralNet,156.0480939236728,70.95190607632719,-70.95190607632719
development,direct,2024-06-20,regular,25,2024-06-25,5,20.0,NeuralNet,90.36396947429803,70.36396947429803,70.36396947429803
development,direct,2023-11-24,holiday_event,5,2023-11-27,3,98.0,NeuralNet,168.20300828507166,70.20300828507166,70.20300828507166
development,direct,2022-11-20,holiday_event,13,2022-11-25,5,142.0,NeuralNet,73.00312046845607,68.99687953154393,-68.99687953154393
development,direct,2024-11-29,holiday_event,2,2024-12-04,5,132.0,NeuralNet,63.0126931817128,68.98730681828721,-68.98730681828721
development,direct,2023-11-24,holiday_event,1,2023-12-01,7,26.0,NeuralNet,94.20424607487188,68.20424607487188,68.20424607487188
development,direct,2023-11-24,holiday_event,5,2023-11-25,1,203.0,NeuralNet,270.7398743848084,67.73987438480839,67.73987438480839
development,direct,2024-11-29,holiday_event,27,2024-12-01,2,176.0,NeuralNet,108.84434122362764,67.15565877637236,-67.15565877637236
development,direct,2022-11-20,holiday_event,27,2022-11-23,3,75.0,NeuralNet,8.961060723233432,66.03893927676657,-66.03893927676657
development,direct,2022-11-20,holiday_event,11,2022-11-21,1,216.0,NeuralNet,281.5758757794226,65.57587577942257,65.57587577942257
development,direct,2024-11-29,holiday_event,2,2024-12-05,6,126.0,NeuralNet,61.11051298020098,64.88948701979902,-64.88948701979902
development,direct,2024-11-29,holiday_event,24,2024-12-01,2,186.0,NeuralNet,122.10668512795984,63.893314872040165,-63.893314872040165
development,direct,2024-11-29,holiday_event,11,2024-12-01,2,232.0,NeuralNet,168.70101295415586,63.29898704584414,-63.29898704584414
development,direct,2024-11-29,holiday_event,4,2024-12-02,3,117.0,NeuralNet,54.18566299084131,62.81433700915869,-62.81433700915869
development,direct,2024-11-29,holiday_event,4,2024-12-03,4,108.0,NeuralNet,45.523673684207715,62.476326315792285,-62.476326315792285
development,direct,2024-11-29,holiday_event,6,2024-12-01,2,137.0,NeuralNet,75.34372629831654,61.65627370168346,-61.65627370168346
development,direct,2022-11-20,holiday_event,25,2022-11-23,3,99.0,NeuralNet,37.36919418118967,61.63080581881033,-61.63080581881033
development,direct,2023-11-24,holiday_event,11,2023-12-01,7,40.0,NeuralNet,100.89356533841516,60.89356533841516,60.89356533841516
development,direct,2023-01-10,winter_test_like,19,2023-01-13,3,47.0,NeuralNet,107.71459898243906,60.71459898243906,60.71459898243906
development,direct,2024-06-20,regular,25,2024-06-24,4,29.0,NeuralNet,89.53813766428398,60.53813766428398,60.53813766428398
development,direct,2024-11-29,holiday_event,1,2024-12-02,3,153.0,NeuralNet,92.70457792776422,60.29542207223578,-60.29542207223578
development,direct,2024-11-29,holiday_event,8,2024-12-01,2,208.0,NeuralNet,147.77103895859872,60.22896104140128,-60.22896104140128
development,direct,2023-11-24,holiday_event,3,2023-12-01,7,50.0,NeuralNet,109.98428389308458,59.98428389308458,59.98428389308458
development,direct,2023-11-24,holiday_event,5,2023-11-29,5,92.0,NeuralNet,151.21058307766563,59.21058307766563,59.21058307766563
development,direct,2022-11-20,holiday_event,5,2022-11-21,1,184.0,NeuralNet,243.16206068947508,59.162060689475084,59.162060689475084
development,direct,2024-11-29,holiday_event,8,2024-11-30,1,86.0,NeuralNet,144.30208291867237,58.30208291867237,58.30208291867237
development,direct,2023-01-10,winter_test_like,19,2023-01-12,2,58.0,NeuralNet,115.82522592244425,57.82522592244425,57.82522592244425
development,direct,2022-11-20,holiday_event,5,2022-11-23,3,172.0,NeuralNet,228.57844586815588,56.57844586815588,56.57844586815588
development,direct,2023-11-24,holiday_event,5,2023-11-30,6,85.0,NeuralNet,141.55608351555213,56.55608351555213,56.55608351555213
development,direct,2023-12-18,holiday_event,25,2023-12-25,7,28.0,NeuralNet,84.36317270966087,56.36317270966087,56.36317270966087
development,direct,2024-11-29,holiday_event,1,2024-11-30,1,140.0,NeuralNet,195.88877481736435,55.88877481736435,55.88877481736435
development,direct,2022-11-20,holiday_event,10,2022-11-26,6,41.0,NeuralNet,96.78176710979069,55.78176710979069,55.78176710979069
development,direct,2024-11-29,holiday_event,28,2024-12-01,2,151.0,NeuralNet,95.50705072923584,55.49294927076416,-55.49294927076416
development,direct,2022-11-20,holiday_event,27,2022-11-22,2,58.0,NeuralNet,2.5562405144287896,55.44375948557121,-55.44375948557121
development,direct,2025-02-10,winter_test_like,28,2025-02-16,6,80.0,NeuralNet,135.42470521160539,55.424705211605385,55.424705211605385
development,direct,2022-11-20,holiday_event,27,2022-11-24,4,57.0,NeuralNet,2.1893965468242995,54.8106034531757,-54.8106034531757
development,direct,2022-11-20,holiday_event,16,2022-11-21,1,187.0,NeuralNet,132.30942110798128,54.69057889201872,-54.69057889201872
development,direct,2023-12-18,holiday_event,11,2023-12-20,2,60.0,NeuralNet,114.56004637959478,54.56004637959478,54.56004637959478
development,direct,2024-11-29,holiday_event,4,2024-12-01,2,188.0,NeuralNet,134.0289092494134,53.9710907505866,-53.9710907505866
development,direct,2024-12-20,holiday_event,26,2024-12-22,2,74.0,NeuralNet,127.57432664404159,53.57432664404159,53.57432664404159
development,direct,2022-11-20,holiday_event,25,2022-11-24,4,88.0,NeuralNet,35.004493509005634,52.995506490994366,-52.995506490994366
development,direct,2023-11-24,holiday_event,16,2023-11-26,2,224.0,NeuralNet,171.26578307958025,52.734216920419755,-52.734216920419755
development,direct,2023-11-24,holiday_event,19,2023-11-26,2,179.0,NeuralNet,126.42726521252325,52.57273478747675,-52.57273478747675
development,direct,2024-12-20,holiday_event,27,2024-12-24,4,23.0,NeuralNet,74.72915239473645,51.729152394736445,51.729152394736445
development,direct,2024-11-29,holiday_event,10,2024-12-01,2,103.0,NeuralNet,51.57061612244271,51.42938387755729,-51.42938387755729
development,direct,2023-01-10,winter_test_like,19,2023-01-16,6,3.0,NeuralNet,54.13394179222778,51.13394179222778,51.13394179222778
development,direct,2023-11-24,holiday_event,5,2023-11-26,2,445.0,NeuralNet,393.93629932540904,51.06370067459096,-51.06370067459096
development,direct,2024-11-29,holiday_event,19,2024-12-01,2,102.0,NeuralNet,51.07929635510959,50.92070364489041,-50.92070364489041
development,direct,2025-02-10,winter_test_like,18,2025-02-12,2,77.0,NeuralNet,26.84409439868782,50.155905601312185,-50.155905601312185
development,direct,2023-12-18,holiday_event,11,2023-12-22,4,29.0,NeuralNet,79.12356622624692,50.12356622624692,50.12356622624692
development,direct,2023-11-24,holiday_event,11,2023-11-27,3,45.0,NeuralNet,94.9915549053127,49.9915549053127,49.9915549053127
